Serial Number:20472264 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","EOF"
2018-12-11 12:19:41,38.87,2, , , , 
2018-12-11 12:29:41,38.79,2, , , , 
2018-12-11 12:39:41,38.94,2, , , , 
2018-12-11 12:49:41,38.87,2, , , , 
2018-12-11 12:59:41,38.87,2, , , , 
2018-12-11 13:09:41,38.87,2, , , , 
2018-12-11 13:19:41,38.87,2, , , , 
2018-12-11 13:29:41,38.87,3, , , , 
2018-12-11 13:39:41,38.94,2, , , , 
2018-12-11 13:49:41,38.79,1, , , , 
2018-12-11 13:59:41,38.94,1, , , , 
2018-12-11 14:09:41,38.94,1, , , , 
2018-12-11 14:19:41,38.87,1, , , , 
2018-12-11 14:29:41,38.94,1, , , , 
2018-12-11 14:39:41,38.94,1, , , , 
2018-12-11 14:49:41,38.87,1, , , , 
2018-12-11 14:59:41,38.94,0, , , , 
2018-12-11 15:09:41,38.94,0, , , , 
2018-12-11 15:19:41,38.94,0, , , , 
2018-12-11 15:29:41,38.87,0, , , , 
2018-12-11 15:39:41,38.94,0, , , , 
2018-12-11 15:49:41,38.87,0, , , , 
2018-12-11 15:59:41,38.87,0, , , , 
2018-12-11 16:09:41,38.94,0, , , , 
2018-12-11 16:19:41,38.87,0, , , , 
2018-12-11 16:29:41,38.94,0, , , , 
2018-12-11 16:39:41,38.94,0, , , , 
2018-12-11 16:49:41,38.94,0, , , , 
2018-12-11 16:59:41,38.94,0, , , , 
2018-12-11 17:09:41,38.94,0, , , , 
2018-12-11 17:19:41,38.87,0, , , , 
2018-12-11 17:29:41,39.02,0, , , , 
2018-12-11 17:39:41,39.02,0, , , , 
2018-12-11 17:49:41,38.94,0, , , , 
2018-12-11 17:59:41,38.94,0, , , , 
2018-12-11 18:09:41,38.87,0, , , , 
2018-12-11 18:19:41,38.94,0, , , , 
2018-12-11 18:29:41,38.87,0, , , , 
2018-12-11 18:39:41,38.94,0, , , , 
2018-12-11 18:49:41,38.87,0, , , , 
2018-12-11 18:59:41,38.79,0, , , , 
2018-12-11 19:09:41,38.94,0, , , , 
2018-12-11 19:19:41,38.87,0, , , , 
2018-12-11 19:29:41,38.87,0, , , , 
2018-12-11 19:39:41,38.87,0, , , , 
2018-12-11 19:49:41,38.87,0, , , , 
2018-12-11 19:59:41,38.87,0, , , , 
2018-12-11 20:09:41,38.87,0, , , , 
2018-12-11 20:19:41,38.87,0, , , , 
2018-12-11 20:29:41,39.02,0, , , , 
2018-12-11 20:39:41,39.02,0, , , , 
2018-12-11 20:49:41,39.02,0, , , , 
2018-12-11 20:59:41,39.02,0, , , , 
2018-12-11 21:09:41,39.10,0, , , , 
2018-12-11 21:19:41,39.10,0, , , , 
2018-12-11 21:29:41,38.94,0, , , , 
2018-12-11 21:39:41,38.94,0, , , , 
2018-12-11 21:49:41,38.87,0, , , , 
2018-12-11 21:59:41,39.02,0, , , , 
2018-12-11 22:09:41,38.87,0, , , , 
2018-12-11 22:19:41,38.87,0, , , , 
2018-12-11 22:29:41,38.87,0, , , , 
2018-12-11 22:39:41,38.94,0, , , , 
2018-12-11 22:49:41,38.87,0, , , , 
2018-12-11 22:59:41,38.87,0, , , , 
2018-12-11 23:09:41,38.94,0, , , , 
2018-12-11 23:19:41,38.94,0, , , , 
2018-12-11 23:29:41,38.87,0, , , , 
2018-12-11 23:39:41,38.87,0, , , , 
2018-12-11 23:49:41,38.87,0, , , , 
2018-12-11 23:59:41,38.87,0, , , , 
2018-12-12 00:09:41,38.87,0, , , , 
2018-12-12 00:19:41,38.87,0, , , , 
2018-12-12 00:29:41,38.87,0, , , , 
2018-12-12 00:39:41,38.87,0, , , , 
2018-12-12 00:49:41,38.87,0, , , , 
2018-12-12 00:59:41,38.94,0, , , , 
2018-12-12 01:09:41,38.87,0, , , , 
2018-12-12 01:19:41,38.79,0, , , , 
2018-12-12 01:29:41,38.87,0, , , , 
2018-12-12 01:39:41,38.94,0, , , , 
2018-12-12 01:49:41,38.94,0, , , , 
2018-12-12 01:59:41,38.87,0, , , , 
2018-12-12 02:09:41,38.87,0, , , , 
