7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1574808360, +2.91,  +3.738, +6.620159E+01,  10
1574808960, +2.91,  +3.769, +6.711685E+01,  10
1574809560, +2.91,  +3.738, +6.750436E+01,  10
1574810160, +2.91,  +3.790, +6.188373E+01,  10
1574810760, +2.91,  +3.769, +6.690075E+01,  10
1574811360, +2.91,  +3.769, +6.319301E+01,  10
1574811960, +2.92,  +3.748, +6.571579E+01,  10
1574812560, +2.91,  +3.769, +6.557294E+01,  10
1574813160, +2.91,  +3.759, +6.691721E+01,  10
1574813760, +2.91,  +3.759, +6.560617E+01,  10
1574814360, +2.91,  +3.748, +6.588329E+01,  10
1574814960, +2.91,  +3.738, +6.242932E+01,  10
1574815560, +2.91,  +3.790, +6.202497E+01,  10
1574816160, +2.91,  +3.759, +6.592340E+01,  10
1574816760, +2.91,  +3.790, +6.662638E+01,  10
1574817360, +2.91,  +3.790, +6.533724E+01,  10
1574817960, +2.91,  +3.790, +6.649020E+01,  10
1574818560, +2.91,  +3.801, +6.417357E+01,  10
1574819160, +2.92,  +3.769, +6.513950E+01,  10
1574819760, +2.91,  +3.759, +6.438631E+01,  10
1574820360, +2.91,  +3.769, +6.453520E+01,  10
1574820960, +2.91,  +3.780, +6.278911E+01,  10
1574821560, +2.91,  +3.780, +6.375184E+01,  10
1574822160, +2.91,  +3.707, +6.194711E+01,  10
1574822760, +2.91,  +3.790, +6.578331E+01,  10
1574823360, +2.91,  +3.780, +6.554416E+01,  10
1574823960, +2.91,  +3.780, +6.506150E+01,  10
1574824560, +2.91,  +3.759, +6.517089E+01,  10
1574825160, +2.91,  +3.769, +6.616033E+01,  10
1574825760, +2.91,  +3.759, +6.662424E+01,  10
1574826360, +2.91,  +3.738, +6.439212E+01,  10
1574826960, +2.91,  +3.780, +6.495103E+01,  10
1574827560, +2.91,  +3.738, +6.429567E+01,  10
1574828160, +2.91,  +3.727, +6.528159E+01,  10
1574828760, +2.91,  +3.769, +6.493955E+01,  10
1574829360, +2.91,  +3.769, +6.235843E+01,  10
1574829960, +2.91,  +3.727, +5.838605E+01,  10
1574830560, +2.91,  +3.780, +6.443882E+01,  10
1574831160, +2.91,  +3.738, +6.383597E+01,  10
1574831760, +2.91,  +3.790, +6.452915E+01,  10
1574832360, +2.91,  +3.790, +6.396925E+01,  10
1574832960, +2.91,  +3.769, +6.496106E+01,  10
1574833560, +2.91,  +3.780, +6.278154E+01,  10
1574834160, +2.91,  +3.738, +6.433050E+01,  10
1574834760, +2.91,  +3.769, +6.382028E+01,  10
1574835360, +2.91,  +3.780, +6.502659E+01,  10
1574835960, +2.91,  +3.748, +6.412917E+01,  10
1574836560, +2.91,  +3.727, +6.385855E+01,  10
1574837160, +2.91,  +3.780, +6.519631E+01,  10
1574837760, +2.91,  +3.759, +6.484394E+01,  10
1574838360, +2.91,  +3.759, +6.385235E+01,  10
1574838960, +2.91,  +3.738, +6.259819E+01,  10
1574839560, +2.91,  +3.748, +6.362859E+01,  10
1574840160, +2.91,  +3.780, +6.533364E+01,  10
1574840760, +2.91,  +3.780, +6.224398E+01,  10
1574841360, +2.91,  +3.759, +5.686549E+01,  10
1574841960, +2.91,  +3.769, +6.426857E+01,  10
1574842560, +2.91,  +3.780, +6.335070E+01,  10
1574843160, +2.91,  +3.780, +6.180878E+01,  10
1574843760, +2.91,  +3.738, +6.366748E+01,  10
1574844360, +2.91,  +3.759, +6.534842E+01,  10
1574844960, +2.91,  +3.769, +6.278383E+01,  10
1574845560, +2.91,  +3.769, +6.530448E+01,  10
1574846160, +2.91,  +3.780, +6.419883E+01,  10
1574846760, +2.91,  +3.769, +6.508500E+01,  10
1574847360, +2.91,  +3.738, +6.280994E+01,  10
1574847960, +2.91,  +3.738, +6.107595E+01,  10
1574848560, +2.91,  +3.738, +6.468432E+01,  10
1574849160, +2.91,  +3.738, +6.246736E+01,  10
1574849760, +2.91,  +3.738, +6.374342E+01,  10
1574850360, +2.91,  +3.748, +6.339005E+01,  10
1574850960, +2.91,  +3.769, +6.335576E+01,  10
1574851560, +2.91,  +3.790, +6.166869E+01,  10
1574852160, +2.91,  +3.790, +6.195653E+01,  10
1574852760, +2.91,  +3.738, +6.253381E+01,  10
1574853360, +2.91,  +3.780, +6.348612E+01,  10
1574853960, +2.91,  +3.748, +6.463648E+01,  10
1574854560, +2.91,  +3.759, +6.444923E+01,  10
1574855160, +2.91,  +3.769, +6.349868E+01,  10
1574855760, +2.91,  +3.769, +6.518452E+01,  10
1574856360, +2.91,  +3.780, +6.397637E+01,  10
1574856960, +2.91,  +3.769, +6.337022E+01,  10
1574857560, +2.91,  +3.821, +6.321138E+01,  10
1574858160, +2.91,  +3.748, +6.380849E+01,  10
1574858760, +2.91,  +3.780, +6.394062E+01,  10
1574859360, +2.91,  +3.759, +6.259460E+01,  10
1574859960, +2.91,  +3.738, +6.248987E+01,  10
1574860560, +2.91,  +3.748, +6.393648E+01,  10
1574861160, +2.91,  +3.738, +6.424269E+01,  10
1574861760, +2.91,  +3.748, +6.434252E+01,  10
1574862360, +2.91,  +3.759, +6.515443E+01,  10
1574862960, +2.91,  +3.769, +6.520113E+01,  10
1574863560, +2.91,  +3.759, +6.356214E+01,  10
1574864160, +2.91,  +3.748, +6.614326E+01,  10
1574864760, +2.91,  +3.769, +6.427684E+01,  10
1574865360, +2.91,  +3.769, +6.502092E+01,  10
1574865960, +2.91,  +3.769, +6.382686E+01,  10
1574866560, +2.91,  +3.707, +6.325524E+01,  10
1574867160, +2.91,  +3.748, +6.612274E+01,  10
