7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1578354960, +2.71,  +2.818, +6.978241E+01,  10
1578355560, +2.71,  +2.828, +6.969254E+01,  10
1578356160, +2.71,  +2.786, +6.968381E+01,  10
1578356760, +2.71,  +2.775, +6.970349E+01,  10
1578357360, +2.71,  +2.850, +6.957381E+01,  10
1578357960, +2.71,  +2.775, +6.970548E+01,  10
1578358560, +2.71,  +2.839, +6.964576E+01,  10
1578359160, +2.71,  +2.861, +6.984740E+01,  10
1578359760, +2.71,  +2.818, +6.946678E+01,  10
1578360360, +2.71,  +2.796, +6.985100E+01,  10
1578360960, +2.71,  +2.828, +6.958177E+01,  10
1578361560, +2.71,  +2.828, +6.964354E+01,  10
1578362160, +2.71,  +2.818, +6.956523E+01,  10
1578362760, +2.71,  +2.818, +6.957870E+01,  10
1578363360, +2.71,  +2.796, +6.966674E+01,  10
1578363960, +2.71,  +2.828, +6.965794E+01,  10
1578364560, +2.71,  +2.828, +6.946885E+01,  10
1578365160, +2.71,  +2.753, +6.974880E+01,  10
1578365760, +2.71,  +2.807, +6.943417E+01,  10
1578366360, +2.71,  +2.796, +6.924631E+01,  10
1578366960, +2.71,  +2.850, +6.936696E+01,  10
1578367560, +2.71,  +2.850, +6.919043E+01,  10
1578368160, +2.71,  +2.807, +6.927755E+01,  10
1578368760, +2.71,  +2.839, +6.910308E+01,  10
1578369360, +2.71,  +2.786, +6.933779E+01,  10
1578369960, +2.71,  +2.818, +6.983623E+01,  10
1578370560, +2.71,  +2.818, +6.884763E+01,  10
1578371160, +2.71,  +2.839, +6.976963E+01,  10
1578371760, +2.71,  +2.807, +6.942866E+01,  10
1578372360, +2.72,  +2.828, +6.953040E+01,  10
1578372960, +2.71,  +2.775, +6.950131E+01,  10
1578373560, +2.72,  +2.828, +6.945102E+01,  10
1578374160, +2.71,  +2.796, +6.985835E+01,  10
1578374760, +2.71,  +2.839, +6.947383E+01,  10
