7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1587182340, +2.71,  +2.711, +2.972984E+02,   1
1587182940, +2.71,  +2.646, +2.928530E+02,   1
1587183540, +2.71,  +2.657, +2.754855E+02,   1
1587184140, +2.71,  +2.646, +2.738213E+02,   1
1587184740, +2.71,  +2.689, +2.699692E+02,   1
1587185340, +2.71,  +2.668, +2.880072E+02,   1
1587185940, +2.71,  +2.689, +2.946328E+02,   1
1587186540, +2.70,  +2.614, +3.174095E+02,   1
1587187140, +2.71,  +2.678, +3.092697E+02,   1
1587187740, +2.73,  +2.625, +3.070496E+02,   1
1587188340, +2.70,  +2.689, +2.946834E+02,   1
1587188940, +2.71,  +2.700, +3.099027E+02,   1
1587189540, +2.71,  +2.646, +3.009408E+02,   1
1587190140, +2.70,  +2.657, +2.747292E+02,   1
1587190740, +2.71,  +2.689, +2.758201E+02,   1
1587191340, +2.70,  +2.711, +3.020913E+02,   1
1587191940, +2.70,  +2.700, +2.828522E+02,   1
1587192540, +2.70,  +2.711, +3.054880E+02,   1
1587193140, +2.70,  +2.678, +3.136561E+02,   1
1587193740, +2.70,  +2.678, +3.199709E+02,   1
1587194340, +2.70,  +2.635, +3.092819E+02,   1
1587194940, +2.70,  +2.700, +3.286604E+02,   1
1587195540, +2.71,  +2.689, +3.286443E+02,   1
1587196140, +2.70,  +2.646, +3.272495E+02,   1
1587196740, +2.70,  +2.689, +3.239379E+02,   1
1587197340, +2.70,  +2.689, +3.089321E+02,   1
1587197940, +2.71,  +2.657, +3.290164E+02,   1
1587198540, +2.71,  +2.668, +3.280059E+02,   1
1587199140, +2.70,  +2.700, +3.294091E+02,   1
1587199740, +2.71,  +2.678, +3.344080E+02,   1
1587200340, +2.71,  +2.700, +3.257323E+02,   1
1587200940, +2.71,  +2.711, +3.325186E+02,   1
1587201540, +2.70,  +2.678, +3.357139E+02,   1
1587202140, +2.71,  +2.668, +2.774539E+01,  10
1587202740, +2.73,  +2.646, +1.688505E+01,  10
1587203340, +2.74,  +2.721, +1.864805E+01,  10
1587203940, +2.74,  +2.732, +3.407809E+02,   1
1587204540, +2.71,  +2.646, +3.289130E+02,   1
1587205140, +2.71,  +2.646, +2.993862E+01,  10
1587205740, +2.74,  +2.668, +2.251303E+01,  10
1587206340, +2.74,  +2.711, +2.550800E+01,  10
1587206940, +2.74,  +2.657, +2.675052E+01,  10
1587207540, +2.74,  +2.657, +3.013460E+01,  10
1587208140, +2.74,  +2.678, +1.909818E+01,  10
1587208740, +2.74,  +2.668, +2.338428E+01,  10
1587209340, +2.74,  +2.689, +2.959796E+01,  10
1587209940, +2.74,  +2.657, +3.517963E+01,  10
1587210540, +2.73,  +2.700, +3.426828E+01,  10
1587211140, +2.74,  +2.689, +3.608624E+01,  10
1587211740, +2.73,  +2.678, +2.162694E+01,  10
1587212340, +2.74,  +2.678, +3.835748E+01,  10
1587212940, +2.73,  +2.743, +5.177605E+01,  10
1587213540, +2.74,  +2.743, +4.938692E+01,  10
1587214140, +2.74,  +2.700, +5.575693E+01,  10
1587214740, +2.75,  +2.753, +5.994779E+01,  10
1587215340, +2.74,  +2.732, +5.965758E+01,  10
1587215940, +2.74,  +2.700, +5.924634E+01,  10
1587216540, +2.74,  +2.721, +6.054490E+01,  10
1587217140, +2.74,  +2.689, +6.147042E+01,  10
1587217740, +2.74,  +2.711, +6.384692E+01,  10
1587218340, +2.74,  +2.732, +6.634727E+01,  10
1587218940, +2.73,  +2.721, +6.622165E+01,  10
1587219540, +2.74,  +2.711, +6.893329E+01,  10
1587220140, +2.74,  +2.700, +6.453558E+01,  10
1587220740, +2.74,  +2.721, +6.674565E+01,  10
1587221340, +2.74,  +2.743, +5.836645E+01,  10
1587221940, +2.74,  +2.743, +5.318385E+01,  10
1587222540, +2.74,  +2.700, +6.308767E+01,  10
1587223140, +2.74,  +2.657, +6.743164E+01,  10
1587223740, +2.73,  +2.689, +5.576168E+01,  10
1587224340, +2.73,  +2.668, +4.295231E+01,  10
1587224940, +2.74,  +2.711, +6.561275E+01,  10
1587225540, +2.73,  +2.700, +6.587992E+01,  10
1587226140, +2.73,  +2.668, +6.756522E+01,  10
1587226740, +2.74,  +2.689, +6.327316E+01,  10
1587227340, +2.73,  +2.678, +6.074761E+01,  10
1587227940, +2.73,  +2.678, +5.300931E+01,  10
1587228540, +2.73,  +2.635, +4.872000E+01,  10
1587229140, +2.73,  +2.625, +3.419563E+01,  10
1587229740, +2.73,  +2.700, +2.097908E+01,  10
1587230340, +2.73,  +2.732, +2.367847E+01,  10
1587230940, +2.74,  +2.711, +4.445848E+01,  10
1587231540, +2.73,  +2.678, +2.592796E+01,  10
1587232140, +2.73,  +2.711, +2.104131E+01,  10
1587232740, +2.73,  +2.668, +4.731718E+01,  10
1587233340, +2.67,  +2.689, +2.858170E+02,   1
1587233940, +2.71,  +2.689, +4.900095E+01,  10
1587234540, +2.74,  +2.625, +4.412923E+01,  10
1587235140, +2.74,  +2.689, +4.177769E+01,  10
1587235740, +2.74,  +2.678, +5.450063E+01,  10
1587236340, +2.74,  +2.657, +5.861823E+01,  10
1587236940, +2.74,  +2.721, +6.729737E+01,  10
1587237540, +2.74,  +2.743, +5.883771E+01,  10
1587238140, +2.74,  +2.700, +5.711237E+01,  10
1587238740, +2.74,  +2.700, +5.957223E+01,  10
1587239340, +2.74,  +2.743, +3.786861E+01,  10
1587239940, +2.67,  +2.743, +3.119390E+02,   1
1587240540, +2.71,  +2.711, +5.664892E+01,  10
1587241140, +2.74,  +2.743, +4.035190E+01,  10
1587241740, +2.74,  +2.743, +2.947732E+01,  10
