7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1589009340, +2.70,  +6.505, +5.153621E+01,  10
1589009940, +2.70,  +6.515, +5.426959E+01,  10
1589010540, +2.70,  +6.485, +4.977612E+01,  10
1589011140, +2.70,  +6.485, +5.211747E+01,  10
1589011740, +2.70,  +6.495, +5.470931E+01,  10
1589012340, +2.70,  +6.534, +4.383075E+01,  10
1589012940, +2.69,  +6.544, +4.517953E+01,  10
1589013540, +2.70,  +6.573, +5.135118E+01,  10
1589014140, +2.69,  +6.524, +5.104765E+01,  10
1589014740, +2.69,  +6.505, +5.311220E+01,  10
1589015340, +2.69,  +6.524, +4.727492E+01,  10
1589015940, +2.70,  +6.573, +4.774457E+01,  10
1589016540, +2.69,  +6.544, +4.823726E+01,  10
1589017140, +2.69,  +6.554, +5.180583E+01,  10
1589017740, +2.69,  +6.583, +4.926980E+01,  10
1589018340, +2.70,  +6.554, +4.641256E+01,  10
1589018940, +2.69,  +6.602, +4.471332E+01,  10
1589019540, +2.70,  +6.544, +5.179948E+01,  10
1589020140, +2.69,  +6.593, +5.467035E+01,  10
1589020740, +2.70,  +6.573, +2.692024E+01,  10
1589021340, +2.70,  +6.612, +5.110997E+01,  10
1589021940, +2.70,  +6.632, +5.197363E+01,  10
1589022540, +2.70,  +6.632, +3.165248E+01,  10
1589023140, +2.69,  +6.632, +3.506695E+01,  10
1589023740, +2.69,  +6.651, +4.822425E+01,  10
1589024340, +2.69,  +6.641, +3.023228E+01,  10
1589024940, +2.69,  +6.661, +2.812716E+01,  10
1589025540, +2.69,  +6.661, +4.060337E+01,  10
1589026140, +2.70,  +6.641, +4.103942E+01,  10
1589026740, +2.69,  +6.563, +4.146926E+01,  10
1589027340, +2.69,  +6.524, +4.343222E+01,  10
1589027940, +2.69,  +6.534, +4.835699E+01,  10
1589028540, +2.69,  +6.485, +3.986380E+01,  10
1589029140, +2.69,  +6.515, +4.209760E+01,  10
1589029740, +2.69,  +6.544, +4.227115E+01,  10
1589030340, +2.69,  +6.573, +4.674043E+01,  10
1589030940, +2.69,  +6.612, +4.658411E+01,  10
1589031540, +2.69,  +6.729, +4.484086E+01,  10
1589032140, +2.69,  +6.661, +4.277922E+01,  10
1589032740, +2.69,  +6.534, +5.014479E+01,  10
1589033340, +2.69,  +6.680, +5.228313E+01,  10
1589033940, +2.69,  +6.816, +4.850060E+01,  10
1589034540, +2.69,  +6.612, +5.005278E+01,  10
1589035140, +2.70,  +6.710, +4.849509E+01,  10
1589035740, +2.69,  +6.289, +5.173594E+01,  10
1589036340, +2.69,  +6.505, +5.314710E+01,  10
1589036940, +2.69,  +6.612, +4.743606E+01,  10
1589037540, +2.69,  +6.680, +4.628418E+01,  10
1589038140, +2.70,  +6.778, +5.206213E+01,  10
1589038740, +2.69,  +6.778, +5.441106E+01,  10
1589039340, +2.69,  +6.884, +5.002139E+01,  10
1589039940, +2.69,  +6.933, +5.263198E+01,  10
1589040540, +2.69,  +6.690, +5.415385E+01,  10
1589041140, +2.69,  +6.319, +5.339957E+01,  10
1589041740, +2.69,  +6.710, +5.641245E+01,  10
1589042340, +2.69,  +6.515, +4.931803E+01,  10
1589042940, +2.69,  +6.826, +5.358292E+01,  10
1589043540, +2.69,  +6.826, +5.540096E+01,  10
1589044140, +2.69,  +6.690, +5.615416E+01,  10
1589044740, +2.69,  +6.719, +5.405578E+01,  10
1589045340, +2.69,  +6.739, +5.416962E+01,  10
1589045940, +2.69,  +6.348, +5.573511E+01,  10
1589046540, +2.69,  +6.768, +5.207912E+01,  10
1589047140, +2.69,  +6.816, +5.342981E+01,  10
1589047740, +2.69,  +6.923, +5.621096E+01,  10
1589048340, +2.69,  +6.387, +5.685653E+01,  10
1589048940, +2.69,  +6.593, +4.940591E+01,  10
1589049540, +2.69,  +6.904, +4.761167E+01,  10
1589050140, +2.69,  +6.544, +5.630443E+01,  10
1589050740, +2.69,  +6.534, +5.227326E+01,  10
1589051340, +2.69,  +6.495, +5.385506E+01,  10
1589051940, +2.69,  +6.671, +5.315430E+01,  10
1589052540, +2.69,  +6.641, +5.371926E+01,  10
1589053140, +2.69,  +6.729, +5.033694E+01,  10
1589053740, +2.69,  +6.816, +5.284932E+01,  10
1589054340, +2.69,  +6.671, +4.711722E+01,  10
1589054940, +2.69,  +6.661, +4.998212E+01,  10
1589055540, +2.69,  +7.010, +5.032263E+01,  10
1589056140, +2.69,  +6.593, +5.145216E+01,  10
1589056740, +2.69,  +6.505, +4.915834E+01,  10
1589057340, +2.69,  +6.710, +4.440956E+01,  10
1589057940, +2.69,  +6.807, +4.300038E+01,  10
1589058540, +2.69,  +6.952, +4.435720E+01,  10
1589059140, +2.69,  +6.797, +4.659529E+01,  10
1589059740, +2.69,  +6.729, +4.382853E+01,  10
1589060340, +2.69,  +6.855, +5.237905E+01,  10
1589060940, +2.69,  +6.573, +5.069490E+01,  10
1589061540, +2.69,  +6.593, +5.083576E+01,  10
1589062140, +2.69,  +6.836, +5.202316E+01,  10
1589062740, +2.69,  +6.933, +5.171060E+01,  10
1589063340, +2.69,  +6.680, +5.078707E+01,  10
1589063940, +2.69,  +6.884, +4.877550E+01,  10
1589064540, +2.69,  +7.059, +4.700216E+01,  10
1589065140, +2.69,  +6.758, +5.127884E+01,  10
1589065740, +2.69,  +6.554, +4.608782E+01,  10
1589066340, +2.69,  +6.583, +4.681009E+01,  10
1589066940, +2.69,  +6.671, +4.827668E+01,  10
1589067540, +2.69,  +6.612, +5.432463E+01,  10
1589068140, +2.69,  +6.710, +5.097462E+01,  10
1589068740, +2.69,  +6.719, +5.244458E+01,  10
1589069340, +2.69,  +6.641, +4.827860E+01,  10
1589069940, +2.69,  +6.739, +4.861038E+01,  10
1589070540, +2.69,  +6.787, +4.569549E+01,  10
1589071140, +2.69,  +6.904, +5.302630E+01,  10
1589071740, +2.69,  +6.826, +5.548525E+01,  10
1589072340, +2.69,  +6.739, +5.109504E+01,  10
1589072940, +2.69,  +6.778, +5.215851E+01,  10
1589073540, +2.69,  +6.836, +4.891199E+01,  10
1589074140, +2.69,  +6.680, +5.161544E+01,  10
1589074740, +2.69,  +6.680, +5.495619E+01,  10
1589075340, +2.69,  +6.778, +5.998301E+01,  10
1589075940, +2.69,  +6.816, +5.934625E+01,  10
1589076540, +2.69,  +6.787, +5.809040E+01,  10
1589077140, +2.69,  +6.719, +5.542806E+01,  10
1589077740, +2.69,  +6.719, +5.479268E+01,  10
1589078340, +2.69,  +6.671, +5.893271E+01,  10
1589078940, +2.69,  +6.826, +5.471436E+01,  10
1589079540, +2.68,  +6.875, +5.477997E+01,  10
1589080140, +2.69,  +6.797, +5.920401E+01,  10
1589080740, +2.69,  +6.778, +5.528123E+01,  10
1589081340, +2.69,  +6.807, +5.710808E+01,  10
1589081940, +2.69,  +6.768, +5.572034E+01,  10
1589082540, +2.69,  +6.758, +5.895292E+01,  10
1589083140, +2.69,  +6.680, +5.406336E+01,  10
1589083740, +2.69,  +6.700, +5.638964E+01,  10
1589084340, +2.69,  +6.758, +5.481702E+01,  10
1589084940, +2.69,  +6.778, +5.441198E+01,  10
1589085540, +2.69,  +6.748, +5.897428E+01,  10
1589086140, +2.69,  +6.816, +5.593155E+01,  10
1589086740, +2.69,  +6.816, +5.976828E+01,  10
1589087340, +2.69,  +6.748, +5.830582E+01,  10
1589087940, +2.69,  +6.729, +4.778300E+01,  10
1589088540, +2.69,  +6.778, +5.721809E+01,  10
1589089140, +2.69,  +6.778, +5.226958E+01,  10
1589089740, +2.69,  +6.739, +5.360512E+01,  10
1589090340, +2.68,  +6.797, +5.079809E+01,  10
1589090940, +2.69,  +6.816, +5.696753E+01,  10
