7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1574634360, +2.93,  +3.748, +6.780009E+01,  10
1574634960, +2.92,  +3.717, +6.870371E+01,  10
1574635560, +2.93,  +3.759, +6.148030E+01,  10
1574636160, +2.92,  +3.748, +6.227920E+01,  10
1574636760, +2.93,  +3.717, +6.354752E+01,  10
1574637360, +2.92,  +3.727, +6.432399E+01,  10
1574637960, +2.92,  +3.738, +5.745892E+01,  10
1574638560, +2.92,  +3.769, +4.694000E+01,  10
1574639160, +2.92,  +3.717, +6.632339E+01,  10
1574639760, +2.92,  +3.738, +6.456590E+01,  10
1574640360, +2.92,  +3.727, +5.694434E+01,  10
1574640960, +2.92,  +3.665, +6.463296E+01,  10
1574641560, +2.92,  +3.717, +6.389637E+01,  10
1574642160, +2.93,  +3.748, +6.275505E+01,  10
1574642760, +2.92,  +3.727, +5.510333E+01,  10
1574643360, +2.92,  +3.759, +6.322516E+01,  10
1574643960, +2.92,  +3.801, +6.318175E+01,  10
1574644560, +2.92,  +3.738, +6.629759E+01,  10
1574645160, +2.92,  +3.769, +6.462990E+01,  10
1574645760, +2.92,  +3.748, +6.629009E+01,  10
1574646360, +2.92,  +3.790, +6.541731E+01,  10
1574646960, +2.92,  +3.759, +6.480229E+01,  10
1574647560, +2.92,  +3.801, +6.542106E+01,  10
1574648160, +2.93,  +3.811, +6.436732E+01,  10
1574648760, +2.92,  +3.790, +6.638984E+01,  10
1574649360, +2.93,  +3.832, +6.645047E+01,  10
1574649960, +2.92,  +3.790, +6.636633E+01,  10
1574650560, +2.92,  +3.821, +6.548284E+01,  10
1574651160, +2.92,  +3.780, +6.611409E+01,  10
1574651760, +2.92,  +3.811, +6.664192E+01,  10
1574652360, +2.92,  +3.780, +6.594315E+01,  10
1574652960, +2.92,  +3.759, +6.607834E+01,  10
1574653560, +2.92,  +3.780, +6.615444E+01,  10
1574654160, +2.92,  +3.801, +6.624339E+01,  10
1574654760, +2.92,  +3.821, +6.602147E+01,  10
1574655360, +2.92,  +3.780, +6.691399E+01,  10
1574655960, +2.92,  +3.769, +6.551622E+01,  10
1574656560, +2.92,  +3.842, +6.533747E+01,  10
1574657160, +2.92,  +3.748, +6.377281E+01,  10
1574657760, +2.92,  +3.738, +6.414180E+01,  10
1574658360, +2.92,  +3.769, +6.313169E+01,  10
1574658960, +2.92,  +3.780, +6.543699E+01,  10
1574659560, +2.92,  +3.790, +6.479333E+01,  10
1574660160, +2.92,  +3.759, +6.488749E+01,  10
1574660760, +2.92,  +3.790, +6.453459E+01,  10
1574661360, +2.92,  +3.801, +6.589753E+01,  10
1574661960, +2.92,  +3.759, +6.420380E+01,  10
1574662560, +2.92,  +3.759, +6.478223E+01,  10
1574663160, +2.92,  +3.769, +6.574396E+01,  10
1574663760, +2.92,  +3.780, +6.595678E+01,  10
1574664360, +2.92,  +3.811, +6.540185E+01,  10
1574664960, +2.92,  +3.780, +6.425402E+01,  10
1574665560, +2.92,  +3.790, +6.472566E+01,  10
1574666160, +2.92,  +3.748, +6.491230E+01,  10
1574666760, +2.92,  +3.759, +6.431764E+01,  10
1574667360, +2.92,  +3.780, +6.460923E+01,  10
1574667960, +2.92,  +3.748, +6.547075E+01,  10
1574668560, +2.92,  +3.821, +6.371624E+01,  10
1574669160, +2.92,  +3.780, +6.544992E+01,  10
1574669760, +2.92,  +3.738, +6.543194E+01,  10
1574670360, +2.92,  +3.780, +6.564988E+01,  10
1574670960, +2.92,  +3.748, +6.505101E+01,  10
1574671560, +2.92,  +3.769, +6.607329E+01,  10
1574672160, +2.92,  +3.769, +6.437429E+01,  10
1574672760, +2.92,  +3.790, +6.483536E+01,  10
1574673360, +2.92,  +3.780, +6.623604E+01,  10
1574673960, +2.94,  +3.811, +6.601136E+01,  10
1574674560, +2.92,  +3.759, +5.545692E+01,  10
1574675160, +2.92,  +3.811, +5.769409E+01,  10
1574675760, +2.92,  +3.738, +6.320701E+01,  10
1574676360, +2.93,  +3.769, +6.542336E+01,  10
1574676960, +2.92,  +3.780, +6.619218E+01,  10
1574677560, +2.92,  +3.790, +6.490541E+01,  10
1574678160, +2.92,  +3.769, +6.499742E+01,  10
1574678760, +2.92,  +3.780, +6.557562E+01,  10
1574679360, +2.92,  +3.790, +6.594361E+01,  10
1574679960, +2.92,  +3.780, +6.379004E+01,  10
1574680560, +2.92,  +3.748, +6.443147E+01,  10
1574681160, +2.92,  +3.780, +6.567491E+01,  10
1574681760, +2.92,  +3.780, +6.484600E+01,  10
1574682360, +2.92,  +3.769, +6.333424E+01,  10
1574682960, +2.92,  +3.790, +6.404794E+01,  10
1574683560, +2.92,  +3.748, +6.384753E+01,  10
1574684160, +2.92,  +3.759, +6.357332E+01,  10
1574684760, +2.91,  +3.727, +6.441218E+01,  10
