            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,        Sensor,          Gain
1544511780,           2018-12-11 07:03:00,           2018-12-11 01:03:00,3.09,3.665,92.47405,10
1544512380,           2018-12-11 07:13:00,           2018-12-11 01:13:00,3.09,3.644,91.42654,10
1544512980,           2018-12-11 07:23:00,           2018-12-11 01:23:00,3.09,3.654,92.12374,10
1544513580,           2018-12-11 07:33:00,           2018-12-11 01:33:00,3.09,3.633,92.71674,10
1544514180,           2018-12-11 07:43:00,           2018-12-11 01:43:00,3.09,3.644,97.53818,10
1544514780,           2018-12-11 07:53:00,           2018-12-11 01:53:00,3.09,3.654,99.29523,10
1544515380,           2018-12-11 08:03:00,           2018-12-11 02:03:00,3.09,3.612,93.32002,10
1544515980,           2018-12-11 08:13:00,           2018-12-11 02:13:00,3.1,3.665,95.79552,10
1544516580,           2018-12-11 08:23:00,           2018-12-11 02:23:00,3.09,3.696,93.13081,10
1544517180,           2018-12-11 08:33:00,           2018-12-11 02:33:00,3.09,3.623,95.08118,10
1544517780,           2018-12-11 08:43:00,           2018-12-11 02:43:00,3.09,3.644,95.5165,10
1544518380,           2018-12-11 08:53:00,           2018-12-11 02:53:00,3.09,3.665,96.46461,10
1544518980,           2018-12-11 09:03:00,           2018-12-11 03:03:00,3.09,3.654,94.24276,10
1544519580,           2018-12-11 09:13:00,           2018-12-11 03:13:00,3.09,3.612,93.41325,10
1544520180,           2018-12-11 09:23:00,           2018-12-11 03:23:00,3.09,3.633,93.06225,10
1544520780,           2018-12-11 09:33:00,           2018-12-11 03:33:00,3.09,3.654,92.08535,10
1544521380,           2018-12-11 09:43:00,           2018-12-11 03:43:00,3.09,3.644,94.71167,10
1544521980,           2018-12-11 09:53:00,           2018-12-11 03:53:00,3.09,3.612,95.07296,10
1544522580,           2018-12-11 10:03:00,           2018-12-11 04:03:00,3.09,3.665,95.83254,10
1544523180,           2018-12-11 10:13:00,           2018-12-11 04:13:00,3.09,3.654,94.22494,10
1544523780,           2018-12-11 10:23:00,           2018-12-11 04:23:00,3.09,3.633,91.67608,10
1544524380,           2018-12-11 10:33:00,           2018-12-11 04:33:00,3.09,3.644,92.21355,10
1544524980,           2018-12-11 10:43:00,           2018-12-11 04:43:00,3.09,3.665,93.61617,10
