sample_id,lake,date,depth,replicate,parameter,value,Flag,
SSB_2020-05-04_7_C,SSB,5/4/20,7,C,CO2_TCD,17044,0,
SSB_2020-05-04_7_A,SSB,5/4/20,7,A,N2O_ECD,0,0,
SSB_2020-05-04_7_B,SSB,5/4/20,7,B,N2O_ECD,0,0,
SSB_2020-05-04_7_C,SSB,5/4/20,7,C,N2O_ECD,-1,0,
SSB_2020-05-04_Air_1,SSB,5/4/20,Air,1,CH4_FID,117,1,
SSB_2020-05-04_Air_2,SSB,5/4/20,Air,2,CH4_FID,35,1,
SSB_2020-05-04_Air_3,SSB,5/4/20,Air,3,CH4_FID,17,1,
SSB_2020-05-04_Air_1,SSB,5/4/20,Air,1,CO2_FID,406,0,
SSB_2020-05-04_Air_2,SSB,5/4/20,Air,2,CO2_FID,362,0,
SSB_2020-05-04_Air_3,SSB,5/4/20,Air,3,CO2_FID,400,0,
SSB_2020-05-04_Air_1,SSB,5/4/20,Air,1,N2O_ECD,0,0,
SSB_2020-05-04_Air_2,SSB,5/4/20,Air,2,N2O_ECD,0,0,
SSB_2020-05-04_Air_3,SSB,5/4/20,Air,3,N2O_ECD,0,0,
SSB_2020-06-18_0_A,SSB,6/18/20,0,A,CH4_FID,79,1,
SSB_2020-06-18_0_B,SSB,6/18/20,0,B,CH4_FID,129,1,
SSB_2020-06-18_0_C,SSB,6/18/20,0,C,CH4_FID,41,1,
SSB_2020-06-18_0_A,SSB,6/18/20,0,A,CO2_TCD,1533,0,
SSB_2020-06-18_0_B,SSB,6/18/20,0,B,CO2_TCD,1698,0,
SSB_2020-06-18_0_C,SSB,6/18/20,0,C,CO2_TCD,1623,0,
SSB_2020-06-18_0_A,SSB,6/18/20,0,A,N2O_ECD,-1,0,
SSB_2020-06-18_0_B,SSB,6/18/20,0,B,N2O_ECD,0,0,
SSB_2020-06-18_0_C,SSB,6/18/20,0,C,N2O_ECD,0,0,
SSB_2020-06-18_3_A,SSB,6/18/20,3,A,CH4_TCD,7864,0,
SSB_2020-06-18_3_B,SSB,6/18/20,3,B,CH4_TCD,8026,0,
SSB_2020-06-18_3_C,SSB,6/18/20,3,C,CH4_TCD,8616,0,
SSB_2020-06-18_3_A,SSB,6/18/20,3,A,CO2_TCD,11801,0,
SSB_2020-06-18_3_B,SSB,6/18/20,3,B,CO2_TCD,11850,0,
SSB_2020-06-18_3_C,SSB,6/18/20,3,C,CO2_TCD,11937,0,
SSB_2020-06-18_3_A,SSB,6/18/20,3,A,N2O_ECD,-1,0,
SSB_2020-06-18_3_B,SSB,6/18/20,3,B,N2O_ECD,-1,0,
SSB_2020-06-18_3_C,SSB,6/18/20,3,C,N2O_ECD,-1,0,
SSB_2020-06-18_5_A,SSB,6/18/20,5,A,CH4_TCD,15433,0,
SSB_2020-06-18_5_B,SSB,6/18/20,5,B,CH4_TCD,12815,0,
SSB_2020-06-18_5_C,SSB,6/18/20,5,C,CH4_TCD,13484,0,
SSB_2020-06-18_5_A,SSB,6/18/20,5,A,CO2_TCD,13126,0,
SSB_2020-06-18_5_B,SSB,6/18/20,5,B,CO2_TCD,12484,0,
SSB_2020-06-18_5_C,SSB,6/18/20,5,C,CO2_TCD,12702,0,
SSB_2020-06-18_5_A,SSB,6/18/20,5,A,N2O_ECD,-1,0,
SSB_2020-06-18_5_B,SSB,6/18/20,5,B,N2O_ECD,-1,0,
SSB_2020-06-18_5_C,SSB,6/18/20,5,C,N2O_ECD,-1,0,
SSB_2020-06-18_Air_1,SSB,6/18/20,Air,1,CH4_FID,107,1,
SSB_2020-06-18_Air_2,SSB,6/18/20,Air,2,CH4_FID,3,1,
SSB_2020-06-18_Air_3,SSB,6/18/20,Air,3,CH4_FID,7,1,
SSB_2020-06-18_Air_1,SSB,6/18/20,Air,1,CO2_FID,435,0,
SSB_2020-06-18_Air_2,SSB,6/18/20,Air,2,CO2_FID,356,0,
SSB_2020-06-18_Air_3,SSB,6/18/20,Air,3,CO2_FID,348,0,
SSB_2020-06-18_Air_1,SSB,6/18/20,Air,1,N2O_ECD,0,0,
SSB_2020-06-18_Air_2,SSB,6/18/20,Air,2,N2O_ECD,0,0,
SSB_2020-06-18_Air_3,SSB,6/18/20,Air,3,N2O_ECD,0,0,
SSB_2020-06-25_0_A,SSB,6/25/20,0,A,CH4_FID,215,1,
SSB_2020-06-25_0_B,SSB,6/25/20,0,B,CH4_FID,93,1,
SSB_2020-06-25_0_C,SSB,6/25/20,0,C,CH4_FID,61,1,
SSB_2020-06-25_0_A,SSB,6/25/20,0,A,CO2_TCD,2390,0,
SSB_2020-06-25_0_B,SSB,6/25/20,0,B,CO2_TCD,2408,0,
SSB_2020-06-25_0_C,SSB,6/25/20,0,C,CO2_TCD,2092,0,
SSB_2020-06-25_0_A,SSB,6/25/20,0,A,N2O_ECD,0,0,
SSB_2020-06-25_0_B,SSB,6/25/20,0,B,N2O_ECD,0,0,
SSB_2020-06-25_0_C,SSB,6/25/20,0,C,N2O_ECD,0,0,
SSB_2020-06-25_3_A,SSB,6/25/20,3,A,CH4_TCD,7417,0,
SSB_2020-06-25_3_B,SSB,6/25/20,3,B,CH4_TCD,7878,0,
SSB_2020-06-25_3_C,SSB,6/25/20,3,C,CH4_TCD,8306,0,
SSB_2020-06-25_3_A,SSB,6/25/20,3,A,CO2_TCD,11179,0,
SSB_2020-06-25_3_B,SSB,6/25/20,3,B,CO2_TCD,11324,0,
SSB_2020-06-25_3_C,SSB,6/25/20,3,C,CO2_TCD,11563,0,
SSB_2020-06-25_3_A,SSB,6/25/20,3,A,N2O_ECD,-1,0,
SSB_2020-06-25_3_B,SSB,6/25/20,3,B,N2O_ECD,-1,0,
SSB_2020-06-25_3_C,SSB,6/25/20,3,C,N2O_ECD,0,0,
SSB_2020-06-25_5_A,SSB,6/25/20,5,A,CH4_TCD,10777,0,
SSB_2020-06-25_5_B,SSB,6/25/20,5,B,CH4_TCD,11316,0,
SSB_2020-06-25_5_C,SSB,6/25/20,5,C,CH4_TCD,11031,0,
SSB_2020-06-25_5_A,SSB,6/25/20,5,A,CO2_TCD,11893,0,
SSB_2020-06-25_5_B,SSB,6/25/20,5,B,CO2_TCD,11020,0,
SSB_2020-06-25_5_C,SSB,6/25/20,5,C,CO2_TCD,11708,0,
SSB_2020-06-25_5_A,SSB,6/25/20,5,A,N2O_ECD,0,0,
SSB_2020-06-25_5_B,SSB,6/25/20,5,B,N2O_ECD,-1,0,
SSB_2020-06-25_5_C,SSB,6/25/20,5,C,N2O_ECD,0,0,
SSB_2020-06-25_7_A,SSB,6/25/20,7,A,CH4_TCD,40110,0,
SSB_2020-06-25_7_B,SSB,6/25/20,7,B,CH4_TCD,37168,0,
SSB_2020-06-25_7_C,SSB,6/25/20,7,C,CH4_TCD,39962,0,
SSB_2020-06-25_7_A,SSB,6/25/20,7,A,CO2_TCD,18094,0,
SSB_2020-06-25_7_B,SSB,6/25/20,7,B,CO2_TCD,18125,0,
SSB_2020-06-25_7_C,SSB,6/25/20,7,C,CO2_TCD,18073,0,
SSB_2020-06-25_7_A,SSB,6/25/20,7,A,N2O_ECD,-1,0,
SSB_2020-06-25_7_B,SSB,6/25/20,7,B,N2O_ECD,-1,0,
SSB_2020-06-25_7_C,SSB,6/25/20,7,C,N2O_ECD,0,0,
SSB_2020-06-25_Air_1,SSB,6/25/20,Air,1,CH4_FID,51,1,
SSB_2020-06-25_Air_2,SSB,6/25/20,Air,2,CH4_FID,34,1,
SSB_2020-06-25_Air_3,SSB,6/25/20,Air,3,CH4_FID,469,1,
SSB_2020-06-25_Air_1,SSB,6/25/20,Air,1,CO2_FID,370,1,
SSB_2020-06-25_Air_2,SSB,6/25/20,Air,2,CO2_FID,362,1,
SSB_2020-06-25_Air_3,SSB,6/25/20,Air,3,CO2_FID,587,1,
SSB_2020-06-25_Air_1,SSB,6/25/20,Air,1,N2O_ECD,0,0,
SSB_2020-06-25_Air_2,SSB,6/25/20,Air,2,N2O_ECD,0,0,
SSB_2020-06-25_Air_3,SSB,6/25/20,Air,3,N2O_ECD,0,0,
SSB_2020-07-02_0_A,SSB,7/2/20,0,A,CH4_FID,39,1,
SSB_2020-07-02_0_B,SSB,7/2/20,0,B,CH4_FID,179,1,
SSB_2020-07-02_0_C,SSB,7/2/20,0,C,CH4_FID,84,1,
SSB_2020-07-02_0_A,SSB,7/2/20,0,A,CO2_TCD,1744,0,
SSB_2020-07-02_0_B,SSB,7/2/20,0,B,CO2_TCD,1794,0,
SSB_2020-07-02_0_C,SSB,7/2/20,0,C,CO2_TCD,1782,0,
SSB_2020-07-02_0_A,SSB,7/2/20,0,A,N2O_ECD,0,0,
SSB_2020-07-02_0_B,SSB,7/2/20,0,B,N2O_ECD,0,0,
SSB_2020-07-02_0_C,SSB,7/2/20,0,C,N2O_ECD,0,0,
SSB_2020-07-02_3_A,SSB,7/2/20,3,A,CH4_TCD,11661,0,
SSB_2020-07-02_3_B,SSB,7/2/20,3,B,CH4_TCD,10591,0,
SSB_2020-07-02_3_C,SSB,7/2/20,3,C,CH4_TCD,11044,0,
SSB_2020-07-02_3_A,SSB,7/2/20,3,A,CO2_TCD,13076,0,
SSB_2020-07-02_3_B,SSB,7/2/20,3,B,CO2_TCD,12990,0,
SSB_2020-07-02_3_C,SSB,7/2/20,3,C,CO2_TCD,13040,0,
SSB_2020-07-02_3_A,SSB,7/2/20,3,A,N2O_ECD,-1,0,
SSB_2020-07-02_3_B,SSB,7/2/20,3,B,N2O_ECD,0,0,
SSB_2020-07-02_3_C,SSB,7/2/20,3,C,N2O_ECD,-1,0,
SSB_2020-07-02_5_A,SSB,7/2/20,5,A,CH4_TCD,12306,0,
SSB_2020-07-02_5_B,SSB,7/2/20,5,B,CH4_TCD,12435,0,
SSB_2020-07-02_5_C,SSB,7/2/20,5,C,CH4_TCD,12955,0,
SSB_2020-07-02_5_A,SSB,7/2/20,5,A,CO2_TCD,12976,0,
SSB_2020-07-02_5_B,SSB,7/2/20,5,B,CO2_TCD,12892,0,
SSB_2020-07-02_5_C,SSB,7/2/20,5,C,CO2_TCD,13204,0,
SSB_2020-07-02_5_A,SSB,7/2/20,5,A,N2O_ECD,-1,0,
SSB_2020-07-02_5_B,SSB,7/2/20,5,B,N2O_ECD,0,0,
SSB_2020-07-02_5_C,SSB,7/2/20,5,C,N2O_ECD,0,0,
SSB_2020-07-02_7_A,SSB,7/2/20,7,A,CH4_TCD,36889,0,
SSB_2020-07-02_7_B,SSB,7/2/20,7,B,CH4_TCD,36314,0,
SSB_2020-07-02_7_C,SSB,7/2/20,7,C,CH4_TCD,33898,0,
SSB_2020-07-02_7_A,SSB,7/2/20,7,A,CO2_TCD,18730,1,
SSB_2020-07-02_7_B,SSB,7/2/20,7,B,CO2_TCD,18578,1,
SSB_2020-07-02_7_C,SSB,7/2/20,7,C,CO2_TCD,16336,1,
SSB_2020-07-02_7_A,SSB,7/2/20,7,A,N2O_ECD,-1,0,
SSB_2020-07-02_7_B,SSB,7/2/20,7,B,N2O_ECD,0,0,
SSB_2020-07-02_7_C,SSB,7/2/20,7,C,N2O_ECD,-1,0,
SSB_2020-07-02_Air_1,SSB,7/2/20,Air,1,CH4_FID,23,1,
SSB_2020-07-02_Air_2,SSB,7/2/20,Air,2,CH4_FID,56,1,
SSB_2020-07-02_Air_3,SSB,7/2/20,Air,3,CH4_FID,463,1,
SSB_2020-07-02_Air_1,SSB,7/2/20,Air,1,CO2_FID,373,1,
SSB_2020-07-02_Air_2,SSB,7/2/20,Air,2,CO2_FID,393,1,
SSB_2020-07-02_Air_3,SSB,7/2/20,Air,3,CO2_FID,597,1,
SSB_2020-07-02_Air_1,SSB,7/2/20,Air,1,N2O_ECD,0,0,
SSB_2020-07-02_Air_2,SSB,7/2/20,Air,2,N2O_ECD,0,0,
SSB_2020-07-02_Air_3,SSB,7/2/20,Air,3,N2O_ECD,0,0,
SSB_2020-07-11_0_A,SSB,7/11/20,0,A,CH4_FID,84,1,
SSB_2020-07-11_0_B,SSB,7/11/20,0,B,CH4_FID,138,1,
