lake,date,depth,dissolvedCO2,dissolvedCH4
SSB,3/6/20,5,0.000595,8.83E-05
SSB,3/6/20,5,0.000613,9.51E-05
SSB,3/6/20,5,0.000618,0.000113
SSB,3/6/20,7,0.00115,0.000609
SSB,3/6/20,7,0.00117,0.000528
SSB,3/6/20,7,0.00111,0.000679
SSB,5/4/20,0,0.000195,1.56E-05
SSB,5/4/20,0,0.000123,1.31E-05
SSB,5/4/20,0,3.64E-05,1.49E-05
SSB,5/4/20,3,0.000596,6.11E-05
SSB,5/4/20,3,0.000564,6.19E-05
SSB,5/4/20,3,0.000575,6.09E-05
SSB,5/4/20,5,0.000747,0.000169
SSB,5/4/20,5,0.000749,0.00017
SSB,5/4/20,5,0.000736,0.000175
SSB,5/4/20,7,0.00121,0.000417
SSB,5/4/20,7,0.0012,0.000404
SSB,5/4/20,7,0.00114,0.000407
SSB,6/18/20,0,6.60E-05,2.38E-07
SSB,6/18/20,0,6.93E-05,1.56E-06
SSB,6/18/20,0,6.21E-05,8.21E-07
SSB,6/18/20,3,0.000944,0.000141
SSB,6/18/20,3,0.000937,0.000132
SSB,6/18/20,3,0.000933,0.000129
SSB,6/18/20,5,0.001,0.000221
SSB,6/18/20,5,0.000987,0.00021
SSB,6/18/20,5,0.00104,0.000253
SSB,6/25/20,0,9.11E-05,-2.89E-08
SSB,6/25/20,0,0.000106,4.45E-07
SSB,6/25/20,0,0.000105,2.20E-06
SSB,6/25/20,3,0.000797,0.000131
SSB,6/25/20,3,0.00077,0.000117
SSB,6/25/20,3,0.00078,0.000124
SSB,6/25/20,5,0.000839,0.000171
SSB,6/25/20,5,0.000826,0.000175
SSB,6/25/20,5,0.000777,0.000179
SSB,6/25/20,7,0.00128,0.000635
SSB,6/25/20,7,0.00128,0.000638
SSB,6/25/20,7,0.00128,0.000591
SSB,7/2/20,0,6.98E-05,1.66E-06
SSB,7/2/20,0,6.78E-05,-3.62E-07
SSB,7/2/20,0,6.93E-05,2.24E-06
SSB,7/2/20,3,0.000888,0.000184
SSB,7/2/20,3,0.000886,0.000174
SSB,7/2/20,3,0.000882,0.000167
SSB,7/2/20,5,0.000912,0.000198
SSB,7/2/20,5,0.000934,0.000206
SSB,7/2/20,5,0.000918,0.000196
SSB,7/2/20,7,0.00132,0.00058
SSB,7/2/20,7,0.00116,0.000542
SSB,7/2/20,7,0.00133,0.00059
SSB,7/11/20,0,7.06E-05,4.61E-07
SSB,7/11/20,0,7.95E-05,3.92E-07
SSB,7/11/20,0,6.80E-05,1.24E-06
SSB,7/11/20,3,0.000877,0.00017
SSB,7/11/20,3,0.000841,0.000168
SSB,7/11/20,3,0.000777,0.000152
SSB,7/11/20,5,0.000944,0.00022
SSB,7/11/20,5,0.000922,0.000215
SSB,7/11/20,5,0.000927,0.000225
SSB,7/11/20,7,0.00146,0.000776
SSB,7/11/20,7,0.00145,0.000746
SSB,7/11/20,7,0.00145,0.000764
SSB,7/16/20,0,9.60E-05,-6.92E-07
SSB,7/16/20,0,6.25E-05,1.30E-07
SSB,7/16/20,0,6.97E-05,1.10E-06
SSB,7/16/20,3,0.000864,0.000166
SSB,7/16/20,3,0.000507,9.44E-05
SSB,7/16/20,3,0.000518,9.90E-05
SSB,7/16/20,5,0.000875,0.000203
SSB,7/16/20,5,0.000585,0.000127
SSB,7/16/20,5,0.000901,0.000206
SSB,7/16/20,7,0.00141,0.000736
SSB,7/16/20,7,0.0014,0.000705
SSB,7/16/20,7,0.00141,0.00072
SSB,7/23/20,0,0.000187,2.65E-06
SSB,7/23/20,0,0.000188,2.83E-06
SSB,7/23/20,3,0.000836,0.00017
SSB,7/23/20,3,0.000829,0.000163
SSB,7/23/20,3,0.000832,0.00017
SSB,7/23/20,5,0.000924,0.000229
SSB,7/23/20,5,0.000927,0.000237
SSB,7/23/20,5,0.000926,0.00024
SSB,7/23/20,7,0.00138,0.00074
SSB,7/23/20,7,0.00137,0.000724
SSB,7/23/20,7,0.00136,0.000729
SSB,7/28/20,0,0.000117,-4.10E-07
SSB,7/28/20,0,0.000121,-4.54E-07
SSB,7/28/20,0,0.000121,-1.77E-07
SSB,7/28/20,3,0.000872,0.000195
SSB,7/28/20,3,0.000873,0.000192
SSB,7/28/20,3,0.000868,0.000184
SSB,7/28/20,5,0.000939,0.000227
SSB,7/28/20,5,0.000952,0.000234
SSB,7/28/20,5,0.000962,0.00024
SSB,7/28/20,7,0.00142,0.000744
SSB,7/28/20,7,0.00141,0.000696
SSB,7/28/20,7,0.00138,0.00068
SSB,10/7/20,0,0.000286,1.01E-05
SSB,10/7/20,0,0.000295,9.84E-06
SSB,10/7/20,0,0.000285,8.43E-06
SSB,10/7/20,3,0.000915,0.000273
SSB,10/7/20,3,0.000909,0.000269
SSB,10/7/20,3,0.00089,0.000266
SSB,10/7/20,5,0.00102,0.000388
SSB,10/7/20,5,0.00102,0.000393
SSB,10/7/20,5,0.000656,0.000236
SSB,10/7/20,7,0.00139,0.000779
SSB,10/7/20,7,0.00138,0.000747
SSB,10/7/20,7,0.0014,0.000763
SSB,10/30/20,0,0.000492,6.23E-05
SSB,10/30/20,0,0.00049,6.08E-05
SSB,10/30/20,0,0.000487,5.96E-05
SSB,10/30/20,3,0.000517,5.49E-05
SSB,10/30/20,3,0.000527,5.99E-05
SSB,10/30/20,3,0.000522,6.66E-05
SSB,10/30/20,5,0.000517,6.26E-05
SSB,10/30/20,5,0.000509,6.08E-05
SSB,10/30/20,5,0.00052,6.52E-05
SSB,10/30/20,7,0.000504,5.74E-05
SSB,10/30/20,7,0.000512,6.14E-05
SSB,10/30/20,7,0.00052,6.41E-05
TB,1/10/20,0,0.000483,2.31E-05
TB,1/10/20,0,0.000499,2.24E-05
TB,1/10/20,0,0.000532,2.94E-05
TB,1/10/20,3,0.000586,3.36E-05
TB,1/10/20,3,0.000557,3.54E-05
TB,1/10/20,3,0.000598,3.05E-05
TB,1/10/20,5,0.000556,3.22E-05
TB,1/10/20,5,0.000563,2.85E-05
TB,1/10/20,5,0.000578,3.24E-05
TB,1/10/20,7,0.000626,7.02E-05
TB,1/10/20,7,0.000674,0.000115
TB,1/10/20,7,0.000739,0.00019
TB,1/30/20,0,0.000557,2.24E-05
TB,1/30/20,0,0.000567,2.42E-05
TB,1/30/20,0,0.000544,2.39E-05
TB,1/30/20,3,0.000527,2.70E-05
TB,1/30/20,3,0.000546,3.36E-05
TB,1/30/20,3,0.000546,3.30E-05
TB,1/30/20,5,0.000553,3.88E-05
TB,1/30/20,5,0.000553,4.32E-05
TB,1/30/20,5,0.000566,4.72E-05
TB,1/30/20,7,0.00131,0.00091
TB,1/30/20,7,0.00103,0.000566
TB,1/30/20,7,0.000895,0.000415
TB,2/15/20,0,0.00054,2.94E-05
TB,2/15/20,0,0.00051,3.06E-05
TB,2/15/20,0,0.000539,3.01E-05
TB,2/15/20,3,0.000527,3.39E-05
TB,2/15/20,3,0.000548,3.27E-05
TB,2/15/20,3,0.000534,3.71E-05
TB,2/15/20,5,0.000578,5.50E-05
TB,2/15/20,5,0.000575,5.25E-05
TB,2/15/20,5,0.000574,5.78E-05
TB,2/15/20,7,0.000602,6.94E-05
TB,2/15/20,7,0.000578,5.78E-05
TB,2/15/20,7,6.00E-04,6.94E-05
TB,3/7/20,0,0.000521,2.21E-05
TB,3/7/20,0,0.000552,2.71E-05
TB,3/7/20,0,0.000538,2.43E-05
TB,3/7/20,3,0.000559,4.07E-05
TB,3/7/20,3,0.000568,4.36E-05
TB,3/7/20,3,0.000566,4.78E-05
TB,3/7/20,5,0.000575,4.21E-05
TB,3/7/20,5,0.00057,6.38E-05
TB,3/7/20,5,0.000591,6.37E-05
TB,3/7/20,7,0.000682,0.000155
TB,3/7/20,7,0.000661,0.000131
TB,3/7/20,7,0.000646,0.000123
TB,5/4/20,0,0.000311,2.01E-05
TB,5/4/20,0,0.000321,2.14E-05
TB,5/4/20,0,0.000307,2.18E-05
TB,5/4/20,3,0.000532,4.45E-05
TB,5/4/20,3,0.000523,4.73E-05
TB,5/4/20,3,0.000523,4.45E-05
TB,5/4/20,5,0.000556,5.56E-05
TB,5/4/20,5,0.000549,5.37E-05
TB,5/4/20,5,0.000169,1.36E-05
TB,5/4/20,7,0.000679,0.000124
TB,5/4/20,7,0.000684,0.000124
TB,5/4/20,7,0.000657,0.000107
TB,6/5/20,0,6.90E-05,-4.17E-08
TB,6/5/20,0,6.88E-05,1.52E-08
TB,6/5/20,0,0.000102,-3.75E-08
TB,6/5/20,3,0.000671,7.46E-05
TB,6/5/20,3,0.000671,7.86E-05
TB,6/5/20,3,0.000674,7.57E-05
TB,6/5/20,5,0.000695,0.000108
TB,6/5/20,5,0.000699,0.000104
TB,6/5/20,5,0.000698,0.000103
TB,6/5/20,7,0.000646,0.000217
TB,6/5/20,7,0.00093,0.000216
TB,6/5/20,7,0.000929,0.000227
TB,6/11/20,0,9.25E-05,7.67E-07
TB,6/11/20,0,9.93E-05,4.71E-07
TB,6/11/20,0,9.80E-05,3.67E-07
TB,6/11/20,3,0.000661,7.79E-05
TB,6/11/20,3,0.000617,7.26E-05
TB,6/11/20,3,0.000649,7.18E-05
TB,6/11/20,5,0.000673,9.72E-05
TB,6/11/20,5,0.000677,0.000104
TB,6/11/20,5,0.000681,0.000104
TB,6/11/20,7,0.000831,0.000207
TB,6/11/20,7,0.000843,0.000217
TB,6/11/20,7,0.000849,0.000214
TB,6/18/20,0,6.36E-05,-5.72E-08
TB,6/18/20,0,6.25E-05,-4.86E-08
TB,6/18/20,0,6.27E-05,-6.80E-08
TB,6/18/20,3,0.000735,7.91E-05
TB,6/18/20,3,0.00072,7.97E-05
TB,6/18/20,3,0.000706,7.26E-05
TB,6/18/20,5,0.000737,9.59E-05
TB,6/18/20,5,0.000731,9.48E-05
TB,6/18/20,5,0.000736,9.30E-05
TB,6/18/20,7,0.00102,0.00028
TB,6/18/20,7,0.00103,0.000268
TB,6/18/20,7,0.00101,0.000277
