"analysis_date"	"sample_id"	"lake"	"date"	"depth"	"replicate"	"parameter"	"value"
"48"	"1/15/21 18:05"	"TB_2020-05-04_0_A"	"TB"	2020-05-04	"0"	"A"	"N2O_ECD"	-1
"49"	"1/15/21 18:20"	"TB_2020-05-04_0_B"	"TB"	2020-05-04	"0"	"B"	"CO2_TCD"	5872
"50"	"1/15/21 18:20"	"TB_2020-05-04_0_B"	"TB"	2020-05-04	"0"	"B"	"CH4_TCD"	2014
"51"	"1/15/21 18:20"	"TB_2020-05-04_0_B"	"TB"	2020-05-04	"0"	"B"	"N2O_ECD"	0
"52"	"1/15/21 18:35"	"TB_2020-05-04_0_C"	"TB"	2020-05-04	"0"	"C"	"CO2_TCD"	5611
"53"	"1/15/21 18:35"	"TB_2020-05-04_0_C"	"TB"	2020-05-04	"0"	"C"	"CH4_TCD"	2054
"54"	"1/15/21 18:35"	"TB_2020-05-04_0_C"	"TB"	2020-05-04	"0"	"C"	"N2O_ECD"	-1
"55"	"1/15/21 18:50"	"TB_2020-05-04_3_A"	"TB"	2020-05-04	"3"	"A"	"CO2_TCD"	7881
"56"	"1/15/21 18:50"	"TB_2020-05-04_3_A"	"TB"	2020-05-04	"3"	"A"	"CH4_TCD"	3945
"57"	"1/15/21 18:50"	"TB_2020-05-04_3_A"	"TB"	2020-05-04	"3"	"A"	"N2O_ECD"	-1
"58"	"1/15/21 19:05"	"TB_2020-05-04_3_B"	"TB"	2020-05-04	"3"	"B"	"CO2_TCD"	7747
"59"	"1/15/21 19:05"	"TB_2020-05-04_3_B"	"TB"	2020-05-04	"3"	"B"	"CH4_TCD"	4195
"60"	"1/15/21 19:05"	"TB_2020-05-04_3_B"	"TB"	2020-05-04	"3"	"B"	"N2O_ECD"	-1
"61"	"1/15/21 19:20"	"TB_2020-05-04_3_C"	"TB"	2020-05-04	"3"	"C"	"CO2_TCD"	7751
"62"	"1/15/21 19:20"	"TB_2020-05-04_3_C"	"TB"	2020-05-04	"3"	"C"	"CH4_TCD"	3944
"63"	"1/15/21 19:20"	"TB_2020-05-04_3_C"	"TB"	2020-05-04	"3"	"C"	"N2O_ECD"	-1
"64"	"1/15/21 19:35"	"TB_2020-05-04_5_A"	"TB"	2020-05-04	"5"	"A"	"CO2_TCD"	8203
"65"	"1/15/21 19:35"	"TB_2020-05-04_5_A"	"TB"	2020-05-04	"5"	"A"	"CH4_TCD"	4921
"66"	"1/15/21 19:35"	"TB_2020-05-04_5_A"	"TB"	2020-05-04	"5"	"A"	"N2O_ECD"	-1
"67"	"1/15/21 19:50"	"TB_2020-05-04_5_B"	"TB"	2020-05-04	"5"	"B"	"CO2_TCD"	8098
"68"	"1/15/21 19:50"	"TB_2020-05-04_5_B"	"TB"	2020-05-04	"5"	"B"	"CH4_TCD"	4753
"69"	"1/15/21 19:50"	"TB_2020-05-04_5_B"	"TB"	2020-05-04	"5"	"B"	"N2O_ECD"	-1
"70"	"1/15/21 20:06"	"TB_2020-05-04_5_C"	"TB"	2020-05-04	"5"	"C"	"CO2_TCD"	2535
"71"	"1/15/21 20:06"	"TB_2020-05-04_5_C"	"TB"	2020-05-04	"5"	"C"	"CH4_TCD"	1208
"72"	"1/15/21 20:06"	"TB_2020-05-04_5_C"	"TB"	2020-05-04	"5"	"C"	"N2O_ECD"	-1
"73"	"1/15/21 20:21"	"TB_2020-05-04_7_A"	"TB"	2020-05-04	"7"	"A"	"CO2_TCD"	10063
"74"	"1/15/21 20:21"	"TB_2020-05-04_7_A"	"TB"	2020-05-04	"7"	"A"	"CH4_TCD"	10958
"75"	"1/15/21 20:21"	"TB_2020-05-04_7_A"	"TB"	2020-05-04	"7"	"A"	"N2O_ECD"	-1
"76"	"1/15/21 20:36"	"TB_2020-05-04_7_B"	"TB"	2020-05-04	"7"	"B"	"CO2_TCD"	10139
"77"	"1/15/21 20:36"	"TB_2020-05-04_7_B"	"TB"	2020-05-04	"7"	"B"	"CH4_TCD"	10952
"78"	"1/15/21 20:36"	"TB_2020-05-04_7_B"	"TB"	2020-05-04	"7"	"B"	"N2O_ECD"	-1
"79"	"1/15/21 20:51"	"TB_2020-05-04_7_C"	"TB"	2020-05-04	"7"	"C"	"CO2_TCD"	9743
"80"	"1/15/21 20:51"	"TB_2020-05-04_7_C"	"TB"	2020-05-04	"7"	"C"	"CH4_TCD"	9456
"81"	"1/15/21 20:51"	"TB_2020-05-04_7_C"	"TB"	2020-05-04	"7"	"C"	"N2O_ECD"	-1
"82"	"1/15/21 21:06"	"TB_2020-05-04_Air_1"	"TB"	2020-05-04	"Air"	"1"	"CO2_FID"	373
"83"	"1/15/21 21:06"	"TB_2020-05-04_Air_1"	"TB"	2020-05-04	"Air"	"1"	"CH4_FID"	34
"84"	"1/15/21 21:06"	"TB_2020-05-04_Air_1"	"TB"	2020-05-04	"Air"	"1"	"N2O_ECD"	0
"85"	"1/15/21 21:21"	"TB_2020-05-04_Air_2"	"TB"	2020-05-04	"Air"	"2"	"CO2_FID"	353
"86"	"1/15/21 21:21"	"TB_2020-05-04_Air_2"	"TB"	2020-05-04	"Air"	"2"	"CH4_FID"	12
"87"	"1/15/21 21:21"	"TB_2020-05-04_Air_2"	"TB"	2020-05-04	"Air"	"2"	"N2O_ECD"	0
"88"	"1/15/21 21:36"	"TB_2020-05-04_Air_3"	"TB"	2020-05-04	"Air"	"3"	"CO2_FID"	356
"89"	"1/15/21 21:36"	"TB_2020-05-04_Air_3"	"TB"	2020-05-04	"Air"	"3"	"CH4_FID"	7
"90"	"1/15/21 21:36"	"TB_2020-05-04_Air_3"	"TB"	2020-05-04	"Air"	"3"	"N2O_ECD"	0
"91"	"1/15/21 21:51"	"TB_2020-10-30_0_A"	"TB"	2020-10-30	"0"	"A"	"CO2_TCD"	5644
"92"	"1/15/21 21:51"	"TB_2020-10-30_0_A"	"TB"	2020-10-30	"0"	"A"	"CH4_TCD"	1640
"93"	"1/15/21 21:51"	"TB_2020-10-30_0_A"	"TB"	2020-10-30	"0"	"A"	"N2O_ECD"	-1
"94"	"1/15/21 22:06"	"TB_2020-10-30_0_B"	"TB"	2020-10-30	"0"	"B"	"CO2_TCD"	5523
"95"	"1/15/21 22:06"	"TB_2020-10-30_0_B"	"TB"	2020-10-30	"0"	"B"	"CH4_TCD"	1644
"96"	"1/15/21 22:06"	"TB_2020-10-30_0_B"	"TB"	2020-10-30	"0"	"B"	"N2O_ECD"	0
"97"	"1/15/21 22:21"	"TB_2020-10-30_0_C"	"TB"	2020-10-30	"0"	"C"	"CO2_TCD"	5756
"98"	"1/15/21 22:21"	"TB_2020-10-30_0_C"	"TB"	2020-10-30	"0"	"C"	"CH4_TCD"	1701
"99"	"1/15/21 22:21"	"TB_2020-10-30_0_C"	"TB"	2020-10-30	"0"	"C"	"N2O_ECD"	0
"100"	"1/15/21 22:36"	"TB_2020-10-30_3_A"	"TB"	2020-10-30	"3"	"A"	"CO2_TCD"	3856
"101"	"1/15/21 22:36"	"TB_2020-10-30_3_A"	"TB"	2020-10-30	"3"	"A"	"CH4_TCD"	1149
"102"	"1/15/21 22:36"	"TB_2020-10-30_3_A"	"TB"	2020-10-30	"3"	"A"	"N2O_ECD"	0
"103"	"1/15/21 22:51"	"TB_2020-10-30_3_B"	"TB"	2020-10-30	"3"	"B"	"CO2_TCD"	5833
"104"	"1/15/21 22:51"	"TB_2020-10-30_3_B"	"TB"	2020-10-30	"3"	"B"	"CH4_TCD"	1795
"105"	"1/15/21 22:51"	"TB_2020-10-30_3_B"	"TB"	2020-10-30	"3"	"B"	"N2O_ECD"	-1
"106"	"1/15/21 23:06"	"TB_2020-10-30_3_C"	"TB"	2020-10-30	"3"	"C"	"CO2_TCD"	5715
"107"	"1/15/21 23:06"	"TB_2020-10-30_3_C"	"TB"	2020-10-30	"3"	"C"	"CH4_TCD"	1706
"108"	"1/15/21 23:06"	"TB_2020-10-30_3_C"	"TB"	2020-10-30	"3"	"C"	"N2O_ECD"	-1
"109"	"1/15/21 23:21"	"TB_2020-10-30_5_A"	"TB"	2020-10-30	"5"	"A"	"CO2_TCD"	6019
"110"	"1/15/21 23:21"	"TB_2020-10-30_5_A"	"TB"	2020-10-30	"5"	"A"	"CH4_TCD"	2383
"111"	"1/15/21 23:21"	"TB_2020-10-30_5_A"	"TB"	2020-10-30	"5"	"A"	"N2O_ECD"	-1
"112"	"1/15/21 23:36"	"TB_2020-10-30_5_B"	"TB"	2020-10-30	"5"	"B"	"CO2_TCD"	6337
"113"	"1/15/21 23:36"	"TB_2020-10-30_5_B"	"TB"	2020-10-30	"5"	"B"	"CH4_TCD"	3679
"114"	"1/15/21 23:36"	"TB_2020-10-30_5_B"	"TB"	2020-10-30	"5"	"B"	"N2O_ECD"	-1
"115"	"1/15/21 23:51"	"TB_2020-10-30_5_C"	"TB"	2020-10-30	"5"	"C"	"CO2_TCD"	6660
"116"	"1/15/21 23:51"	"TB_2020-10-30_5_C"	"TB"	2020-10-30	"5"	"C"	"CH4_TCD"	4154
"117"	"1/15/21 23:51"	"TB_2020-10-30_5_C"	"TB"	2020-10-30	"5"	"C"	"N2O_ECD"	0
"118"	"1/16/21 0:06"	"TB_2020-10-30_7_A"	"TB"	2020-10-30	"7"	"A"	"CO2_TCD"	12918
"119"	"1/16/21 0:06"	"TB_2020-10-30_7_A"	"TB"	2020-10-30	"7"	"A"	"CH4_TCD"	19109
"120"	"1/16/21 0:06"	"TB_2020-10-30_7_A"	"TB"	2020-10-30	"7"	"A"	"N2O_ECD"	-1
"121"	"1/16/21 0:21"	"TB_2020-10-30_7_B"	"TB"	2020-10-30	"7"	"B"	"CO2_TCD"	12526
"122"	"1/16/21 0:21"	"TB_2020-10-30_7_B"	"TB"	2020-10-30	"7"	"B"	"CH4_TCD"	17362
"123"	"1/16/21 0:21"	"TB_2020-10-30_7_B"	"TB"	2020-10-30	"7"	"B"	"N2O_ECD"	-1
"124"	"1/16/21 0:36"	"TB_2020-10-30_7_C"	"TB"	2020-10-30	"7"	"C"	"CO2_TCD"	12174
"125"	"1/16/21 0:36"	"TB_2020-10-30_7_C"	"TB"	2020-10-30	"7"	"C"	"CH4_TCD"	16984
"126"	"1/16/21 0:36"	"TB_2020-10-30_7_C"	"TB"	2020-10-30	"7"	"C"	"N2O_ECD"	-1
"127"	"1/16/21 0:51"	"TB_2020-10-30_Air_1"	"TB"	2020-10-30	"Air"	"1"	"CO2_FID"	377
"128"	"1/16/21 0:51"	"TB_2020-10-30_Air_1"	"TB"	2020-10-30	"Air"	"1"	"CH4_FID"	58
"129"	"1/16/21 0:51"	"TB_2020-10-30_Air_1"	"TB"	2020-10-30	"Air"	"1"	"N2O_ECD"	-1
"130"	"1/16/21 1:06"	"TB_2020-10-30_Air_2"	"TB"	2020-10-30	"Air"	"2"	"CO2_FID"	350
"131"	"1/16/21 1:06"	"TB_2020-10-30_Air_2"	"TB"	2020-10-30	"Air"	"2"	"CH4_FID"	18
"132"	"1/16/21 1:06"	"TB_2020-10-30_Air_2"	"TB"	2020-10-30	"Air"	"2"	"N2O_ECD"	0
"133"	"1/16/21 1:21"	"TB_2020-10-30_Air_3"	"TB"	2020-10-30	"Air"	"3"	"CO2_FID"	346
"134"	"1/16/21 1:21"	"TB_2020-10-30_Air_3"	"TB"	2020-10-30	"Air"	"3"	"CH4_FID"	9
"135"	"1/16/21 1:21"	"TB_2020-10-30_Air_3"	"TB"	2020-10-30	"Air"	"3"	"N2O_ECD"	0
"136"	"1/16/21 1:36"	"SSB_2020-10-30_0_A"	"SSB"	2020-10-30	"0"	"A"	"CO2_TCD"	7054
"137"	"1/16/21 1:36"	"SSB_2020-10-30_0_A"	"SSB"	2020-10-30	"0"	"A"	"CH4_TCD"	3889
"138"	"1/16/21 1:36"	"SSB_2020-10-30_0_A"	"SSB"	2020-10-30	"0"	"A"	"N2O_ECD"	-1
"139"	"1/16/21 1:51"	"SSB_2020-10-30_0_B"	"SSB"	2020-10-30	"0"	"B"	"CO2_TCD"	7022
"140"	"1/16/21 1:51"	"SSB_2020-10-30_0_B"	"SSB"	2020-10-30	"0"	"B"	"CH4_TCD"	3798
"141"	"1/16/21 1:51"	"SSB_2020-10-30_0_B"	"SSB"	2020-10-30	"0"	"B"	"N2O_ECD"	-1
"142"	"1/16/21 2:06"	"SSB_2020-10-30_0_C"	"SSB"	2020-10-30	"0"	"C"	"CO2_TCD"	6984
