7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1578462360, +2.71,  +2.807, +6.924608E+01,  10
1578462960, +2.71,  +2.839, +6.976396E+01,  10
1578463560, +2.72,  +2.786, +6.938441E+01,  10
1578464160, +2.71,  +2.786, +6.924616E+01,  10
1578464760, +2.72,  +2.807, +6.977261E+01,  10
1578465360, +2.71,  +2.807, +6.955849E+01,  10
1578465960, +2.71,  +2.818, +6.960374E+01,  10
1578466560, +2.71,  +2.786, +6.948516E+01,  10
1578467160, +2.72,  +2.807, +6.976144E+01,  10
1578467760, +2.72,  +2.786, +6.970946E+01,  10
1578468360, +2.71,  +2.764, +6.985154E+01,  10
1578468960, +2.71,  +2.796, +6.943502E+01,  10
1578469560, +2.71,  +2.775, +6.958498E+01,  10
1578470160, +2.71,  +2.775, +6.859102E+01,  10
1578470760, +2.71,  +2.753, +6.954732E+01,  10
1578471360, +2.71,  +2.786, +6.940998E+01,  10
1578471960, +2.71,  +2.786, +6.956217E+01,  10
1578472560, +2.71,  +2.818, +6.959141E+01,  10
1578473160, +2.71,  +2.818, +6.989709E+01,  10
1578473760, +2.71,  +2.732, +6.944811E+01,  10
1578474360, +2.71,  +2.775, +6.948508E+01,  10
1578474960, +2.73,  +2.753, +6.933496E+01,  10
1578475560, +2.72,  +2.775, +6.916280E+01,  10
1578476160, +2.71,  +2.839, +6.944060E+01,  10
1578476760, +2.71,  +2.796, +6.950644E+01,  10
1578477360, +2.71,  +2.775, +6.978517E+01,  10
1578477960, +2.71,  +2.828, +6.946648E+01,  10
1578478560, +2.71,  +2.721, +6.963543E+01,  10
1578479160, +2.71,  +2.764, +6.971336E+01,  10
1578479760, +2.71,  +2.807, +6.938885E+01,  10
1578480360, +2.71,  +2.775, +6.948799E+01,  10
1578480960, +2.71,  +2.753, +6.961384E+01,  10
1578481560, +2.71,  +2.743, +6.974567E+01,  10
1578482160, +2.71,  +2.775, +6.964324E+01,  10
1578482760, +2.71,  +2.775, +6.961974E+01,  10
1578483360, +2.71,  +2.850, +6.943808E+01,  10
1578483960, +2.71,  +2.807, +6.989295E+01,  10
1578484560, +2.71,  +2.753, +6.977537E+01,  10
1578485160, +2.71,  +2.818, +6.990551E+01,  10
1578485760, +2.71,  +2.796, +6.963734E+01,  10
1578486360, +2.71,  +2.786, +6.966261E+01,  10
1578486960, +2.71,  +2.775, +6.962257E+01,  10
1578487560, +2.71,  +2.775, +7.002026E+01,  10
1578488160, +2.71,  +2.732, +6.996292E+01,  10
1578488760, +2.71,  +2.753, +6.983493E+01,  10
1578489360, +2.71,  +2.796, +6.982559E+01,  10
1578489960, +2.71,  +2.775, +6.984779E+01,  10
1578490560, +2.71,  +2.775, +6.971099E+01,  10
1578491160, +2.71,  +2.743, +6.993881E+01,  10
1578491760, +2.71,  +2.786, +6.989647E+01,  10
1578492360, +2.71,  +2.775, +6.977644E+01,  10
1578492960, +2.71,  +2.775, +6.996162E+01,  10
1578493560, +2.71,  +2.786, +6.942338E+01,  10
1578494160, +2.71,  +2.775, +6.982046E+01,  10
1578494760, +2.71,  +2.796, +6.965618E+01,  10
1578495360, +2.71,  +2.786, +6.970310E+01,  10
1578495960, +2.71,  +2.732, +6.958192E+01,  10
1578496560, +2.71,  +2.796, +7.004889E+01,  10
1578497160, +2.71,  +2.796, +6.990382E+01,  10
1578497760, +2.71,  +2.753, +6.990956E+01,  10
1578498360, +2.71,  +2.743, +6.985115E+01,  10
1578498960, +2.71,  +2.839, +6.918438E+01,  10
1578499560, +2.71,  +2.807, +6.978746E+01,  10
1578500160, +2.71,  +2.775, +6.987443E+01,  10
1578500760, +2.71,  +2.743, +6.955352E+01,  10
1578501360, +2.71,  +2.796, +6.976098E+01,  10
1578501960, +2.71,  +2.807, +6.978195E+01,  10
1578502560, +2.71,  +2.775, +6.956148E+01,  10
1578503160, +2.71,  +2.786, +6.995404E+01,  10
1578503760, +2.71,  +2.807, +6.971053E+01,  10
1578504360, +2.71,  +2.818, +6.983738E+01,  10
1578504960, +2.71,  +2.764, +6.995404E+01,  10
1578505560, +2.71,  +2.764, +7.005524E+01,  10
1578506160, +2.71,  +2.839, +6.998918E+01,  10
1578506760, +2.71,  +2.764, +6.961790E+01,  10
1578507360, +2.71,  +2.775, +6.976159E+01,  10
1578507960, +2.71,  +2.796, +6.984909E+01,  10
1578508560, +2.71,  +2.807, +6.978180E+01,  10
1578509160, +2.71,  +2.732, +6.998688E+01,  10
1578509760, +2.71,  +2.786, +6.981043E+01,  10
1578510360, +2.71,  +2.786, +7.010202E+01,  10
1578510960, +2.71,  +2.807, +6.946303E+01,  10
1578511560, +2.71,  +2.753, +6.943670E+01,  10
1578512160, +2.71,  +2.796, +6.964584E+01,  10
1578512760, +2.71,  +2.764, +6.984051E+01,  10
1578513360, +2.71,  +2.764, +7.011664E+01,  10
1578513960, +2.71,  +2.786, +6.995205E+01,  10
1578514560, +2.71,  +2.828, +6.972507E+01,  10
1578515160, +2.72,  +2.775, +6.974130E+01,  10
1578515760, +2.70,  +2.818, +6.948409E+01,  10
1578516360, +2.71,  +2.721, +6.990053E+01,  10
1578516960, +2.71,  +2.764, +7.003611E+01,  10
1578517560, +2.71,  +2.796, +6.957786E+01,  10
1578518160, +2.71,  +2.796, +6.951004E+01,  10
1578518760, +2.71,  +2.753, +6.985008E+01,  10
1578519360, +2.71,  +2.786, +6.966146E+01,  10
1578519960, +2.71,  +2.775, +6.963727E+01,  10
1578520560, +2.71,  +2.818, +6.973985E+01,  10
1578521160, +2.71,  +2.775, +6.968749E+01,  10
1578521760, +2.71,  +2.818, +6.957595E+01,  10
1578522360, +2.71,  +2.753, +6.960427E+01,  10
1578522960, +2.71,  +2.786, +6.998704E+01,  10
1578523560, +2.71,  +2.786, +6.965005E+01,  10
1578524160, +2.71,  +2.786, +6.968542E+01,  10
1578524760, +2.71,  +2.786, +6.994914E+01,  10
1578525360, +2.71,  +2.764, +6.979833E+01,  10
1578525960, +2.71,  +2.839, +7.010791E+01,  10
1578526560, +2.71,  +2.807, +6.993620E+01,  10
1578527160, +2.71,  +2.818, +6.984197E+01,  10
1578527760, +2.71,  +2.764, +6.983952E+01,  10
1578528360, +2.71,  +2.753, +6.986624E+01,  10
1578528960, +2.71,  +2.796, +6.990551E+01,  10
1578529560, +2.71,  +2.839, +7.001720E+01,  10
1578530160, +2.71,  +2.786, +6.980484E+01,  10
1578530760, +2.71,  +2.807, +6.992043E+01,  10
1578531360, +2.71,  +2.796, +6.984947E+01,  10
1578531960, +2.71,  +2.786, +7.000793E+01,  10
1578532560, +2.71,  +2.807, +7.016548E+01,  10
1578533160, +2.71,  +2.764, +7.002057E+01,  10
1578533760, +2.71,  +2.796, +6.978080E+01,  10
1578534360, +2.71,  +2.753, +7.011388E+01,  10
1578534960, +2.71,  +2.807, +6.965419E+01,  10
1578535560, +2.71,  +2.764, +6.956868E+01,  10
1578536160, +2.71,  +2.786, +6.993942E+01,  10
1578536760, +2.71,  +2.796, +6.999921E+01,  10
1578537360, +2.71,  +2.764, +7.000051E+01,  10
1578537960, +2.71,  +2.807, +6.982834E+01,  10
1578538560, +2.71,  +2.775, +7.004552E+01,  10
1578539160, +2.71,  +2.786, +6.973219E+01,  10
1578539760, +2.71,  +2.796, +6.972691E+01,  10
1578540360, +2.71,  +2.753, +6.949580E+01,  10
1578540960, +2.71,  +2.796, +6.973028E+01,  10
1578541560, +2.71,  +2.764, +6.993330E+01,  10
1578542160, +2.71,  +2.753, +6.963183E+01,  10
1578542760, +2.71,  +2.786, +6.966169E+01,  10
1578543360, +2.71,  +2.786, +6.986111E+01,  10
1578543960, +2.71,  +2.786, +7.013830E+01,  10
1578544560, +2.71,  +2.775, +6.988338E+01,  10
1578545160, +2.71,  +2.753, +7.003167E+01,  10
1578545760, +2.71,  +2.796, +7.023262E+01,  10
1578546360, +2.71,  +2.753, +6.965771E+01,  10
1578546960, +2.71,  +2.786, +7.007277E+01,  10
1578547560, +2.71,  +2.753, +6.970402E+01,  10
1578548160, +2.71,  +2.711, +6.948677E+01,  10
1578548760, +2.71,  +2.775, +7.030128E+01,  10
