7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1580898360, +2.66,  +2.028, +6.990137E+01,  10
1580898960, +2.66,  +2.050, +7.014657E+01,  10
1580899560, +2.66,  +2.006, +6.998015E+01,  10
1580900160, +2.66,  +1.984, +6.993720E+01,  10
1580900760, +2.66,  +2.050, +6.999117E+01,  10
1580901360, +2.67,  +2.017, +7.018079E+01,  10
1580901960, +2.67,  +2.039, +7.007415E+01,  10
1580902560, +2.66,  +2.017, +7.010860E+01,  10
1580903160, +2.66,  +2.006, +7.003856E+01,  10
1580903760, +2.66,  +2.028, +7.025198E+01,  10
1580904360, +2.67,  +1.973, +7.006175E+01,  10
1580904960, +2.66,  +2.017, +7.023231E+01,  10
1580905560, +2.66,  +2.050, +7.006971E+01,  10
1580906160, +2.66,  +2.050, +6.993919E+01,  10
1580906760, +2.69,  +2.006, +7.001230E+01,  10
1580907360, +2.66,  +2.028, +6.958131E+01,  10
1580907960, +2.66,  +2.028, +6.976044E+01,  10
1580908560, +2.66,  +2.006, +7.024555E+01,  10
1580909160, +2.66,  +1.995, +7.001758E+01,  10
1580909760, +2.66,  +2.006, +7.012307E+01,  10
1580910360, +2.66,  +2.006, +7.013095E+01,  10
1580910960, +2.66,  +2.017, +7.013807E+01,  10
1580911560, +2.66,  +2.017, +7.017459E+01,  10
1580912160, +2.66,  +2.028, +6.992725E+01,  10
1580912760, +2.66,  +1.984, +7.006076E+01,  10
1580913360, +2.66,  +2.072, +7.019947E+01,  10
1580913960, +2.66,  +2.006, +7.020552E+01,  10
1580914560, +2.66,  +2.039, +7.022098E+01,  10
1580915160, +2.66,  +2.028, +6.985567E+01,  10
1580915760, +2.66,  +2.006, +6.969292E+01,  10
1580916360, +2.66,  +2.028, +6.982030E+01,  10
1580916960, +2.66,  +2.039, +6.998558E+01,  10
1580917560, +2.68,  +2.006, +7.002355E+01,  10
1580918160, +2.66,  +2.006, +7.008181E+01,  10
1580918760, +2.66,  +1.995, +6.991355E+01,  10
1580919360, +2.66,  +1.995, +6.988101E+01,  10
1580919960, +2.66,  +2.039, +6.952826E+01,  10
1580920560, +2.66,  +2.039, +7.007032E+01,  10
1580921160, +2.67,  +2.050, +6.939207E+01,  10
1580921760, +2.66,  +2.039, +6.989678E+01,  10
1580922360, +2.66,  +2.017, +6.977897E+01,  10
1580922960, +2.67,  +2.039, +6.985682E+01,  10
1580923560, +2.66,  +2.094, +6.980476E+01,  10
1580924160, +2.66,  +2.006, +6.999209E+01,  10
1580924760, +2.66,  +2.072, +6.946908E+01,  10
1580925360, +2.66,  +2.017, +6.977368E+01,  10
1580925960, +2.66,  +2.028, +7.012498E+01,  10
1580926560, +2.66,  +2.083, +6.994133E+01,  10
1580927160, +2.66,  +2.072, +6.985858E+01,  10
1580927760, +2.66,  +2.050, +6.972622E+01,  10
1580928360, +2.66,  +2.006, +6.958667E+01,  10
1580928960, +2.67,  +2.061, +6.951547E+01,  10
1580929560, +2.66,  +2.050, +6.998566E+01,  10
1580930160, +2.66,  +2.072, +6.975967E+01,  10
1580930760, +2.66,  +2.072, +6.974436E+01,  10
1580931360, +2.66,  +2.083, +6.994547E+01,  10
