7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1577766360, +2.73,  +2.967, +6.945882E+01,  10
1577766960, +2.76,  +2.978, +6.989846E+01,  10
1577767560, +2.74,  +3.010, +6.957074E+01,  10
1577768160, +2.74,  +2.967, +6.901903E+01,  10
1577768760, +2.73,  +2.957, +6.920697E+01,  10
1577769360, +2.73,  +3.010, +6.978922E+01,  10
1577769960, +2.73,  +2.957, +6.950652E+01,  10
1577770560, +2.73,  +2.978, +6.970724E+01,  10
1577771160, +2.73,  +3.010, +6.958284E+01,  10
1577771760, +2.73,  +2.989, +6.946173E+01,  10
1577772360, +2.73,  +3.021, +6.947268E+01,  10
1577772960, +2.73,  +2.967, +6.935326E+01,  10
1577773560, +2.74,  +2.978, +6.961713E+01,  10
1577774160, +2.73,  +2.978, +6.962525E+01,  10
1577774760, +2.73,  +2.978, +6.949480E+01,  10
1577775360, +2.73,  +2.967, +6.942843E+01,  10
1577775960, +2.73,  +2.957, +6.897578E+01,  10
1577776560, +2.73,  +2.946, +6.925688E+01,  10
1577777160, +2.73,  +2.989, +6.954556E+01,  10
1577777760, +2.73,  +2.989, +6.937308E+01,  10
1577778360, +2.73,  +3.010, +6.917351E+01,  10
1577778960, +2.73,  +2.989, +6.953239E+01,  10
1577779560, +2.73,  +3.021, +6.976059E+01,  10
1577780160, +2.73,  +2.999, +6.933718E+01,  10
1577780760, +2.73,  +2.978, +6.930916E+01,  10
1577781360, +2.73,  +2.957, +6.910768E+01,  10
1577781960, +2.73,  +2.978, +6.908938E+01,  10
1577782560, +2.73,  +2.957, +6.951601E+01,  10
1577783160, +2.73,  +2.978, +6.918607E+01,  10
1577783760, +2.73,  +2.946, +6.927984E+01,  10
1577784360, +2.73,  +2.989, +6.942629E+01,  10
1577784960, +2.73,  +2.999, +6.939421E+01,  10
1577785560, +2.73,  +2.935, +6.944367E+01,  10
1577786160, +2.73,  +2.946, +6.959218E+01,  10
1577786760, +2.73,  +2.989, +6.931720E+01,  10
1577787360, +2.73,  +2.935, +6.937538E+01,  10
1577787960, +2.73,  +2.989, +6.957671E+01,  10
1577788560, +2.73,  +2.967, +6.899338E+01,  10
1577789160, +2.73,  +3.010, +6.918699E+01,  10
1577789760, +2.73,  +2.978, +6.937492E+01,  10
1577790360, +2.73,  +2.967, +6.932953E+01,  10
1577790960, +2.73,  +2.999, +6.941259E+01,  10
1577791560, +2.73,  +2.989, +6.952803E+01,  10
1577792160, +2.73,  +2.957, +6.948669E+01,  10
1577792760, +2.73,  +2.999, +6.853614E+01,  10
1577793360, +2.73,  +2.999, +6.929003E+01,  10
1577793960, +2.73,  +2.999, +6.947513E+01,  10
1577794560, +2.73,  +2.946, +6.903166E+01,  10
1577795160, +2.73,  +2.989, +6.949396E+01,  10
1577795760, +2.73,  +2.946, +6.950774E+01,  10
1577796360, +2.73,  +2.967, +6.955949E+01,  10
1577796960, +2.73,  +2.978, +6.921952E+01,  10
1577797560, +2.73,  +2.978, +6.963352E+01,  10
1577798160, +2.73,  +2.967, +6.945048E+01,  10
1577798760, +2.73,  +3.010, +6.939682E+01,  10
1577799360, +2.73,  +2.978, +6.942261E+01,  10
1577799960, +2.73,  +2.946, +6.932677E+01,  10
1577800560, +2.73,  +2.999, +6.947130E+01,  10
1577801160, +2.73,  +2.946, +6.943081E+01,  10
1577801760, +2.73,  +2.978, +6.946288E+01,  10
1577802360, +2.73,  +2.946, +6.925397E+01,  10
1577802960, +2.73,  +2.935, +6.919755E+01,  10
1577803560, +2.73,  +2.957, +6.929324E+01,  10
1577804160, +2.73,  +2.967, +6.941840E+01,  10
1577804760, +2.73,  +2.946, +6.956699E+01,  10
1577805360, +2.73,  +3.031, +6.934744E+01,  10
1577805960, +2.73,  +2.957, +6.941021E+01,  10
1577806560, +2.73,  +2.999, +6.927900E+01,  10
1577807160, +2.73,  +2.978, +6.967562E+01,  10
1577807760, +2.73,  +2.967, +6.932218E+01,  10
1577808360, +2.73,  +2.967, +6.964500E+01,  10
1577808960, +2.73,  +2.999, +6.962640E+01,  10
1577809560, +2.73,  +3.010, +6.920873E+01,  10
1577810160, +2.73,  +2.978, +6.949143E+01,  10
1577810760, +2.73,  +2.989, +6.964163E+01,  10
1577811360, +2.73,  +2.989, +6.937079E+01,  10
1577811960, +2.73,  +2.935, +6.951195E+01,  10
1577812560, +2.73,  +2.999, +6.854249E+01,  10
1577813160, +2.73,  +2.989, +6.920077E+01,  10
1577813760, +2.73,  +2.957, +6.953913E+01,  10
1577814360, +2.73,  +2.978, +6.969537E+01,  10
1577814960, +2.73,  +2.935, +6.940202E+01,  10
1577815560, +2.73,  +2.989, +6.940011E+01,  10
1577816160, +2.75,  +2.989, +6.945186E+01,  10
1577816760, +2.73,  +2.946, +6.924731E+01,  10
1577817360, +2.73,  +2.957, +6.915039E+01,  10
1577817960, +2.73,  +2.935, +6.959738E+01,  10
1577818560, +2.73,  +2.999, +6.921125E+01,  10
1577819160, +2.73,  +2.978, +6.945775E+01,  10
1577819760, +2.73,  +2.999, +6.936474E+01,  10
1577820360, +2.73,  +2.989, +6.936635E+01,  10
1577820960, +2.73,  +2.989, +6.908073E+01,  10
1577821560, +2.73,  +2.935, +6.923384E+01,  10
1577822160, +2.73,  +2.967, +6.951318E+01,  10
1577822760, +2.73,  +2.957, +6.931965E+01,  10
1577823360, +2.73,  +2.903, +6.938373E+01,  10
1577823960, +2.73,  +2.978, +6.938281E+01,  10
1577824560, +2.73,  +2.957, +6.925902E+01,  10
1577825160, +2.73,  +3.010, +6.940547E+01,  10
1577825760, +2.73,  +2.999, +6.910278E+01,  10
1577826360, +2.73,  +2.967, +6.951639E+01,  10
1577826960, +2.73,  +2.978, +6.953231E+01,  10
1577827560, +2.73,  +2.946, +6.970280E+01,  10
1577828160, +2.73,  +3.010, +6.954671E+01,  10
1577828760, +2.73,  +2.957, +6.943632E+01,  10
1577829360, +2.73,  +2.957, +6.949044E+01,  10
1577829960, +2.73,  +2.946, +6.933067E+01,  10
1577830560, +2.73,  +2.978, +6.934560E+01,  10
1577831160, +2.73,  +2.978, +6.889609E+01,  10
1577831760, +2.73,  +2.925, +6.945798E+01,  10
1577832360, +2.73,  +2.957, +6.922603E+01,  10
1577832960, +2.73,  +2.967, +6.951830E+01,  10
1577833560, +2.73,  +2.957, +6.892479E+01,  10
1577834160, +2.73,  +2.957, +6.894141E+01,  10
1577834760, +2.73,  +2.957, +6.952971E+01,  10
1577835360, +2.73,  +2.946, +6.948677E+01,  10
1577835960, +2.73,  +2.946, +6.944321E+01,  10
1577836560, +2.73,  +2.925, +6.919441E+01,  10
1577837160, +2.73,  +2.946, +6.947467E+01,  10
1577837760, +2.73,  +2.925, +6.897999E+01,  10
1577838360, +2.73,  +2.946, +6.922710E+01,  10
1577838960, +2.73,  +2.978, +6.937691E+01,  10
1577839560, +2.73,  +2.935, +6.960312E+01,  10
1577840160, +2.73,  +2.967, +6.963842E+01,  10
1577840760, +2.73,  +2.935, +6.946242E+01,  10
1577841360, +2.73,  +2.957, +6.952787E+01,  10
1577841960, +2.73,  +2.914, +6.922825E+01,  10
1577842560, +2.73,  +2.946, +6.903465E+01,  10
1577843160, +2.73,  +2.999, +6.961124E+01,  10
1577843760, +2.73,  +2.989, +6.961690E+01,  10
1577844360, +2.73,  +2.978, +6.939398E+01,  10
1577844960, +2.73,  +2.967, +6.956110E+01,  10
1577845560, +2.73,  +2.957, +6.914067E+01,  10
1577846160, +2.73,  +2.978, +6.946280E+01,  10
1577846760, +2.73,  +2.957, +6.900058E+01,  10
1577847360, +2.73,  +2.925, +6.942652E+01,  10
1577847960, +2.73,  +2.967, +6.951341E+01,  10
1577848560, +2.73,  +2.946, +6.924647E+01,  10
1577849160, +2.73,  +2.925, +6.958674E+01,  10
1577849760, +2.73,  +2.978, +6.914825E+01,  10
1577850360, +2.73,  +2.957, +6.865410E+01,  10
1577850960, +2.73,  +2.946, +6.921699E+01,  10
1577851560, +2.73,  +2.957, +6.936168E+01,  10
1577852160, +2.72,  +2.978, +6.957564E+01,  10
1577852760, +2.73,  +2.914, +6.920712E+01,  10
