7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1579506360, +2.69,  +2.506, +6.992097E+01,  10
1579506960, +2.69,  +2.484, +6.959976E+01,  10
1579507560, +2.69,  +2.517, +6.938495E+01,  10
1579508160, +2.69,  +2.495, +6.967570E+01,  10
1579508760, +2.69,  +2.506, +6.959746E+01,  10
1579509360, +2.69,  +2.506, +6.924149E+01,  10
1579509960, +2.69,  +2.517, +7.003243E+01,  10
1579510560, +2.69,  +2.495, +6.963543E+01,  10
1579511160, +2.69,  +2.528, +6.884196E+01,  10
1579511760, +2.69,  +2.528, +6.920543E+01,  10
1579512360, +2.70,  +2.495, +6.897853E+01,  10
1579512960, +2.69,  +2.549, +6.934660E+01,  10
1579513560, +2.69,  +2.474, +6.938702E+01,  10
1579514160, +2.69,  +2.463, +6.985598E+01,  10
1579514760, +2.69,  +2.484, +6.946326E+01,  10
1579515360, +2.69,  +2.484, +6.967692E+01,  10
1579515960, +2.69,  +2.495, +6.951011E+01,  10
1579516560, +2.69,  +2.474, +6.948937E+01,  10
1579517160, +2.69,  +2.506, +6.952343E+01,  10
1579517760, +2.69,  +2.517, +6.935387E+01,  10
1579518360, +2.69,  +2.517, +6.982015E+01,  10
1579518960, +2.69,  +2.506, +6.967952E+01,  10
1579519560, +2.69,  +2.474, +6.954862E+01,  10
1579520160, +2.69,  +2.506, +6.932685E+01,  10
1579520760, +2.69,  +2.495, +6.916172E+01,  10
1579521360, +2.69,  +2.506, +6.944129E+01,  10
1579521960, +2.69,  +2.506, +6.955023E+01,  10
1579522560, +2.69,  +2.495, +6.953737E+01,  10
1579523160, +2.69,  +2.517, +6.966016E+01,  10
1579523760, +2.69,  +2.441, +6.976733E+01,  10
1579524360, +2.69,  +2.528, +6.975776E+01,  10
1579524960, +2.69,  +2.495, +6.981204E+01,  10
1579525560, +2.69,  +2.517, +6.945155E+01,  10
1579526160, +2.69,  +2.528, +6.866352E+01,  10
1579526760, +2.69,  +2.517, +6.945201E+01,  10
1579527360, +2.69,  +2.528, +6.856239E+01,  10
1579527960, +2.69,  +2.506, +6.792686E+01,  10
1579528560, +2.69,  +2.528, +6.833427E+01,  10
1579529160, +2.69,  +2.517, +6.738318E+01,  10
1579529760, +2.69,  +2.549, +6.760817E+01,  10
1579530360, +2.69,  +2.474, +6.797945E+01,  10
1579530960, +2.69,  +2.528, +6.903664E+01,  10
1579531560, +2.69,  +2.560, +6.841090E+01,  10
1579532160, +2.69,  +2.528, +6.806013E+01,  10
1579532760, +2.69,  +2.517, +6.832707E+01,  10
1579533360, +2.69,  +2.506, +6.826774E+01,  10
1579533960, +2.69,  +2.495, +6.873494E+01,  10
1579534560, +2.69,  +2.506, +6.786500E+01,  10
1579535160, +2.68,  +2.517, +6.829247E+01,  10
1579535760, +2.69,  +2.474, +6.832631E+01,  10
1579536360, +2.69,  +2.495, +6.850934E+01,  10
1579536960, +2.69,  +2.560, +6.918224E+01,  10
1579537560, +2.69,  +2.495, +6.840669E+01,  10
1579538160, +2.69,  +2.517, +6.847903E+01,  10
1579538760, +2.69,  +2.495, +6.866941E+01,  10
1579539360, +2.69,  +2.506, +6.834675E+01,  10
1579539960, +2.69,  +2.506, +6.962571E+01,  10
1579540560, +2.69,  +2.495, +6.826989E+01,  10
1579541160, +2.69,  +2.484, +6.872721E+01,  10
1579541760, +2.68,  +2.506, +6.925320E+01,  10
1579542360, +2.69,  +2.484, +6.945484E+01,  10
1579542960, +2.69,  +2.484, +6.936275E+01,  10
1579543560, +2.69,  +2.452, +6.951830E+01,  10
1579544160, +2.69,  +2.484, +6.974934E+01,  10
1579544760, +2.69,  +2.506, +6.989563E+01,  10
1579545360, +2.69,  +2.506, +6.952688E+01,  10
1579545960, +2.69,  +2.463, +6.957174E+01,  10
1579546560, +2.69,  +2.463, +6.963933E+01,  10
1579547160, +2.69,  +2.517, +6.953545E+01,  10
1579547760, +2.69,  +2.528, +6.955229E+01,  10
1579548360, +2.69,  +2.506, +6.960090E+01,  10
1579548960, +2.69,  +2.506, +6.969407E+01,  10
1579549560, +2.69,  +2.506, +6.998619E+01,  10
1579550160, +2.69,  +2.506, +6.975745E+01,  10
1579550760, +2.69,  +2.517, +6.980193E+01,  10
1579551360, +2.69,  +2.484, +6.974184E+01,  10
1579551960, +2.69,  +2.517, +6.986118E+01,  10
1579552560, +2.69,  +2.517, +6.973104E+01,  10
1579553160, +2.69,  +2.484, +6.972278E+01,  10
1579553760, +2.69,  +2.506, +6.996392E+01,  10
1579554360, +2.69,  +2.528, +6.902278E+01,  10
1579554960, +2.69,  +2.452, +6.940248E+01,  10
1579555560, +2.68,  +2.517, +6.950169E+01,  10
1579556160, +2.69,  +2.506, +6.954410E+01,  10
1579556760, +2.69,  +2.463, +6.918928E+01,  10
1579557360, +2.69,  +2.495, +6.950858E+01,  10
1579557960, +2.69,  +2.517, +6.949626E+01,  10
1579558560, +2.69,  +2.517, +6.974743E+01,  10
1579559160, +2.69,  +2.538, +6.960358E+01,  10
1579559760, +2.69,  +2.474, +6.913531E+01,  10
1579560360, +2.69,  +2.506, +6.989915E+01,  10
1579560960, +2.69,  +2.484, +6.990214E+01,  10
1579561560, +2.69,  +2.495, +6.983975E+01,  10
1579562160, +2.69,  +2.430, +6.974758E+01,  10
1579562760, +2.69,  +2.538, +6.962073E+01,  10
1579563360, +2.68,  +2.463, +6.987940E+01,  10
1579563960, +2.69,  +2.484, +6.973916E+01,  10
1579564560, +2.68,  +2.484, +6.992166E+01,  10
1579565160, +2.69,  +2.495, +6.973724E+01,  10
1579565760, +2.69,  +2.463, +6.993582E+01,  10
1579566360, +2.69,  +2.506, +6.968764E+01,  10
1579566960, +2.69,  +2.506, +6.974567E+01,  10
1579567560, +2.69,  +2.474, +6.973418E+01,  10
1579568160, +2.69,  +2.495, +6.945232E+01,  10
1579568760, +2.69,  +2.528, +6.985835E+01,  10
1579569360, +2.71,  +2.495, +7.004185E+01,  10
1579569960, +2.69,  +2.484, +6.949450E+01,  10
1579570560, +2.69,  +2.506, +6.974880E+01,  10
1579571160, +2.69,  +2.463, +6.996208E+01,  10
1579571760, +2.69,  +2.538, +6.980339E+01,  10
1579572360, +2.69,  +2.495, +6.957916E+01,  10
1579572960, +2.69,  +2.528, +7.001038E+01,  10
1579573560, +2.69,  +2.538, +6.980522E+01,  10
1579574160, +2.68,  +2.517, +7.002830E+01,  10
1579574760, +2.68,  +2.517, +7.009719E+01,  10
1579575360, +2.69,  +2.463, +6.966934E+01,  10
1579575960, +2.69,  +2.549, +6.931973E+01,  10
1579576560, +2.69,  +2.484, +6.977223E+01,  10
1579577160, +2.69,  +2.484, +6.902278E+01,  10
1579577760, +2.69,  +2.517, +6.937814E+01,  10
1579578360, +2.69,  +2.506, +6.971076E+01,  10
1579578960, +2.69,  +2.528, +6.969216E+01,  10
1579579560, +2.69,  +2.549, +6.976810E+01,  10
1579580160, +2.69,  +2.528, +6.982268E+01,  10
1579580760, +2.69,  +2.528, +6.986876E+01,  10
1579581360, +2.69,  +2.528, +6.994998E+01,  10
1579581960, +2.68,  +2.474, +6.992641E+01,  10
1579582560, +2.68,  +2.474, +7.005050E+01,  10
1579583160, +2.69,  +2.484, +7.007101E+01,  10
1579583760, +2.69,  +2.484, +6.960006E+01,  10
1579584360, +2.69,  +2.474, +6.962096E+01,  10
1579584960, +2.69,  +2.495, +6.970808E+01,  10
1579585560, +2.69,  +2.420, +6.982834E+01,  10
1579586160, +2.69,  +2.506, +6.998688E+01,  10
1579586760, +2.69,  +2.528, +6.971436E+01,  10
1579587360, +2.69,  +2.549, +7.032379E+01,  10
1579587960, +2.69,  +2.463, +6.997486E+01,  10
1579588560, +2.69,  +2.484, +6.984189E+01,  10
1579589160, +2.68,  +2.495, +6.964661E+01,  10
1579589760, +2.69,  +2.517, +6.993368E+01,  10
1579590360, +2.69,  +2.474, +6.997287E+01,  10
1579590960, +2.69,  +2.463, +6.969085E+01,  10
1579591560, +2.69,  +2.495, +6.980867E+01,  10
1579592160, +2.68,  +2.506, +7.000349E+01,  10
1579592760, +2.68,  +2.495, +6.995940E+01,  10
