7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1589705340, +2.68,  +7.319, +5.743664E+01,  10
1589705940, +2.69,  +7.290, +5.803199E+01,  10
1589706540, +2.68,  +7.309, +6.175841E+01,  10
1589707140, +2.68,  +7.222, +6.242128E+01,  10
1589707740, +2.68,  +7.184, +6.062574E+01,  10
1589708340, +2.68,  +7.126, +5.881045E+01,  10
1589708940, +2.68,  +7.271, +6.041277E+01,  10
1589709540, +2.68,  +7.319, +6.133982E+01,  10
1589710140, +2.68,  +7.271, +6.079561E+01,  10
1589710740, +2.68,  +7.271, +6.181514E+01,  10
1589711340, +2.68,  +7.271, +6.272397E+01,  10
1589711940, +2.68,  +7.290, +5.980809E+01,  10
1589712540, +2.68,  +7.319, +6.199542E+01,  10
1589713140, +2.68,  +7.251, +6.057239E+01,  10
1589713740, +2.68,  +7.251, +5.323591E+01,  10
1589714340, +2.68,  +7.203, +6.047287E+01,  10
1589714940, +2.68,  +7.290, +6.322271E+01,  10
1589715540, +2.68,  +7.203, +5.755239E+01,  10
1589716140, +2.68,  +7.271, +5.946720E+01,  10
1589716740, +2.68,  +7.222, +6.020823E+01,  10
1589717340, +2.68,  +7.309, +6.193969E+01,  10
1589717940, +2.68,  +7.309, +6.383429E+01,  10
1589718540, +2.68,  +7.290, +6.179500E+01,  10
1589719140, +2.68,  +7.242, +6.347480E+01,  10
1589719740, +2.68,  +7.280, +5.917936E+01,  10
1589720340, +2.68,  +7.309, +6.370897E+01,  10
1589720940, +2.68,  +7.194, +6.384523E+01,  10
1589721540, +2.68,  +7.194, +6.093907E+01,  10
1589722140, +2.68,  +7.367, +6.310742E+01,  10
1589722740, +2.68,  +7.386, +6.138491E+01,  10
1589723340, +2.68,  +7.145, +6.379785E+01,  10
1589723940, +2.68,  +7.155, +6.264382E+01,  10
1589724540, +2.68,  +7.309, +6.331763E+01,  10
1589725140, +2.68,  +7.415, +6.163371E+01,  10
1589725740, +2.68,  +7.309, +6.185602E+01,  10
1589726340, +2.68,  +7.309, +6.048129E+01,  10
1589726940, +2.68,  +7.271, +6.113145E+01,  10
1589727540, +2.68,  +7.242, +6.324215E+01,  10
1589728140, +2.68,  +7.280, +6.190417E+01,  10
1589728740, +2.68,  +7.290, +6.277488E+01,  10
1589729340, +2.68,  +7.203, +5.961441E+01,  10
1589729940, +2.68,  +7.386, +6.058127E+01,  10
1589730540, +2.68,  +7.395, +6.082042E+01,  10
1589731140, +2.68,  +7.319, +6.101639E+01,  10
1589731740, +2.68,  +7.232, +6.262437E+01,  10
1589732340, +2.68,  +7.280, +5.989681E+01,  10
1589732940, +2.68,  +7.232, +6.038154E+01,  10
1589733540, +2.68,  +7.347, +6.210282E+01,  10
1589734140, +2.68,  +7.319, +6.256191E+01,  10
1589734740, +2.68,  +7.203, +6.115342E+01,  10
1589735340, +2.68,  +7.357, +6.226113E+01,  10
1589735940, +2.68,  +7.395, +5.977662E+01,  10
1589736540, +2.68,  +7.184, +6.171600E+01,  10
1589737140, +2.68,  +7.309, +6.201639E+01,  10
1589737740, +2.68,  +7.347, +6.271111E+01,  10
1589738340, +2.68,  +7.328, +6.412067E+01,  10
1589738940, +2.68,  +7.290, +5.905205E+01,  10
1589739540, +2.68,  +7.251, +6.435890E+01,  10
1589740140, +2.68,  +7.251, +6.139709E+01,  10
1589740740, +2.68,  +7.367, +6.305330E+01,  10
1589741340, +2.68,  +7.328, +6.433900E+01,  10
1589741940, +2.68,  +7.242, +6.377036E+01,  10
1589742540, +2.68,  +7.319, +6.521238E+01,  10
1589743140, +2.68,  +7.328, +6.398418E+01,  10
1589743740, +2.68,  +7.213, +6.600171E+01,  10
1589744340, +2.68,  +7.271, +6.244945E+01,  10
1589744940, +2.68,  +7.386, +6.469236E+01,  10
1589745540, +2.68,  +7.376, +6.281507E+01,  10
1589746140, +2.68,  +7.251, +6.436786E+01,  10
1589746740, +2.68,  +7.251, +6.360011E+01,  10
1589747340, +2.68,  +7.232, +6.431465E+01,  10
1589747940, +2.68,  +7.155, +6.422761E+01,  10
1589748540, +2.68,  +7.251, +5.878818E+01,  10
1589749140, +2.68,  +7.319, +5.945013E+01,  10
1589749740, +2.68,  +7.405, +5.873880E+01,  10
1589750340, +2.68,  +7.472, +6.400439E+01,  10
1589750940, +2.68,  +7.453, +6.309931E+01,  10
1589751540, +2.68,  +7.290, +6.033385E+01,  10
1589752140, +2.68,  +7.232, +6.336341E+01,  10
1589752740, +2.68,  +7.242, +6.449111E+01,  10
1589753340, +2.68,  +7.232, +6.063799E+01,  10
1589753940, +2.68,  +7.280, +6.089720E+01,  10
1589754540, +2.68,  +7.347, +6.224973E+01,  10
1589755140, +2.68,  +7.309, +6.237466E+01,  10
1589755740, +2.68,  +7.405, +6.189567E+01,  10
1589756340, +2.68,  +7.338, +6.054467E+01,  10
1589756940, +2.68,  +7.174, +6.334665E+01,  10
1589757540, +2.68,  +7.232, +6.079232E+01,  10
1589758140, +2.68,  +7.271, +6.168638E+01,  10
1589758740, +2.68,  +7.242, +6.322577E+01,  10
1589759340, +2.68,  +7.290, +6.338332E+01,  10
1589759940, +2.68,  +7.453, +6.190777E+01,  10
1589760540, +2.68,  +7.424, +6.341309E+01,  10
1589761140, +2.68,  +7.510, +6.306731E+01,  10
1589761740, +2.68,  +7.482, +6.289514E+01,  10
1589762340, +2.68,  +7.376, +6.169189E+01,  10
1589762940, +2.68,  +7.299, +6.516461E+01,  10
1589763540, +2.68,  +7.261, +6.254116E+01,  10
1589764140, +2.68,  +7.213, +6.280106E+01,  10
1589764740, +2.68,  +7.319, +6.050808E+01,  10
1589765340, +2.68,  +7.338, +6.011177E+01,  10
1589765940, +2.68,  +7.319, +6.126289E+01,  10
1589766540, +2.68,  +7.367, +6.114071E+01,  10
1589767140, +2.68,  +7.386, +6.059359E+01,  10
1589767740, +2.68,  +7.290, +5.770106E+01,  10
1589768340, +2.67,  +7.319, +6.422378E+01,  10
