7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1582899360, +2.62,  +1.721, +4.573155E+01,  10
1582899960, +2.63,  +1.688, +4.545856E+01,  10
1582900560, +2.63,  +1.699, +4.878201E+01,  10
1582901160, +2.63,  +1.643, +4.733471E+01,  10
1582901760, +2.63,  +1.654, +5.129078E+01,  10
1582902360, +2.62,  +1.688, +4.380350E+01,  10
1582902960, +2.63,  +1.676, +4.533263E+01,  10
1582903560, +2.63,  +1.754, +4.579141E+01,  10
1582904160, +2.63,  +1.732, +4.747097E+01,  10
1582904760, +2.62,  +1.710, +4.687486E+01,  10
1582905360, +2.62,  +1.699, +4.344255E+01,  10
1582905960, +2.63,  +1.721, +3.885162E+01,  10
1582906560, +2.63,  +1.765, +4.665117E+01,  10
1582907160, +2.64,  +1.732, +4.532919E+01,  10
1582907760, +2.63,  +1.699, +4.357437E+01,  10
1582908360, +2.62,  +1.699, +4.540987E+01,  10
1582908960, +2.63,  +1.688, +5.200035E+01,  10
1582909560, +2.63,  +1.721, +4.421052E+01,  10
1582910160, +2.63,  +1.732, +4.600338E+01,  10
1582910760, +2.62,  +1.688, +4.958389E+01,  10
1582911360, +2.63,  +1.732, +5.521394E+01,  10
1582911960, +2.62,  +1.665, +5.638925E+01,  10
1582912560, +2.63,  +1.665, +4.968448E+01,  10
1582913160, +2.62,  +1.699, +5.558652E+01,  10
1582913760, +2.63,  +1.699, +4.877213E+01,  10
1582914360, +2.63,  +1.776, +5.335778E+01,  10
1582914960, +2.63,  +1.732, +5.748326E+01,  10
1582915560, +2.63,  +1.721, +5.722674E+01,  10
1582916160, +2.63,  +1.699, +5.925966E+01,  10
1582916760, +2.63,  +1.732, +5.953456E+01,  10
1582917360, +2.63,  +1.754, +5.977211E+01,  10
1582917960, +2.63,  +1.710, +5.659120E+01,  10
1582918560, +2.63,  +1.721, +5.943673E+01,  10
1582919160, +2.63,  +1.754, +6.177349E+01,  10
1582919760, +2.63,  +1.721, +6.094504E+01,  10
1582920360, +2.63,  +1.710, +5.394126E+01,  10
1582920960, +2.63,  +1.710, +5.987316E+01,  10
1582921560, +2.63,  +1.732, +5.896639E+01,  10
1582922160, +2.63,  +1.732, +6.456536E+01,  10
1582922760, +2.63,  +1.710, +6.384225E+01,  10
1582923360, +2.63,  +1.732, +6.444387E+01,  10
1582923960, +2.63,  +1.732, +6.378989E+01,  10
1582924560, +2.63,  +1.688, +6.440521E+01,  10
1582925160, +2.63,  +1.732, +6.362430E+01,  10
1582925760, +2.63,  +1.732, +6.177916E+01,  10
1582926360, +2.63,  +1.710, +6.267344E+01,  10
1582926960, +2.63,  +1.721, +6.202612E+01,  10
1582927560, +2.63,  +1.688, +6.362928E+01,  10
1582928160, +2.63,  +1.765, +6.481867E+01,  10
1582928760, +2.63,  +1.754, +6.306386E+01,  10
1582929360, +2.63,  +1.721, +6.351897E+01,  10
1582929960, +2.63,  +1.710, +6.353267E+01,  10
1582930560, +2.63,  +1.699, +6.371287E+01,  10
1582931160, +2.63,  +1.732, +5.699371E+01,  10
1582931760, +2.63,  +1.688, +6.131824E+01,  10
1582932360, +2.63,  +1.754, +6.319048E+01,  10
1582932960, +2.63,  +1.776, +6.507512E+01,  10
1582933560, +2.62,  +1.710, +6.456590E+01,  10
1582934160, +2.63,  +1.743, +6.637284E+01,  10
1582934760, +2.63,  +1.710, +6.589538E+01,  10
1582935360, +2.63,  +1.688, +6.605270E+01,  10
1582935960, +2.63,  +1.710, +6.470844E+01,  10
1582936560, +2.63,  +1.699, +5.684658E+01,  10
1582937160, +2.62,  +1.665, +4.691443E+01,  10
1582937760, +2.62,  +1.665, +2.627589E+01,  10
1582938360, +2.62,  +1.721, +2.572403E+01,  10
1582938960, +2.63,  +1.654, +3.203425E+01,  10
1582939560, +2.62,  +1.676, +4.832285E+01,  10
1582940160, +2.62,  +1.665, +2.130603E+01,  10
1582940760, +2.63,  +1.710, +5.106006E+01,  10
1582941360, +2.54,  +1.632, +3.045686E+02,   1
1582941960, +2.60,  +1.710, +4.878844E+01,  10
1582942560, +2.63,  +1.632, +5.782721E+01,  10
1582943160, +2.63,  +1.643, +6.060814E+01,  10
1582943760, +2.63,  +1.688, +5.758255E+01,  10
1582944360, +2.63,  +1.654, +5.678595E+01,  10
1582944960, +2.63,  +1.710, +5.516572E+01,  10
1582945560, +2.63,  +1.688, +3.848241E+01,  10
1582946160, +2.63,  +1.676, +4.298193E+01,  10
1582946760, +2.63,  +1.665, +4.918039E+01,  10
1582947360, +2.63,  +1.665, +4.680420E+01,  10
1582947960, +2.63,  +1.665, +5.255681E+01,  10
1582948560, +2.63,  +1.688, +5.115758E+01,  10
1582949160, +2.63,  +1.654, +5.313976E+01,  10
1582949760, +2.63,  +1.699, +5.660345E+01,  10
1582950360, +2.63,  +1.688, +5.390566E+01,  10
1582950960, +2.63,  +1.654, +5.090274E+01,  10
1582951560, +2.63,  +1.665, +5.032002E+01,  10
1582952160, +2.63,  +1.676, +4.985290E+01,  10
1582952760, +2.63,  +1.710, +5.155175E+01,  10
1582953360, +2.63,  +1.665, +4.991322E+01,  10
1582953960, +2.63,  +1.699, +4.895861E+01,  10
1582954560, +2.63,  +1.676, +5.354273E+01,  10
1582955160, +2.63,  +1.676, +4.984172E+01,  10
1582955760, +2.63,  +1.654, +5.456057E+01,  10
1582956360, +2.63,  +1.665, +4.999092E+01,  10
1582956960, +2.63,  +1.665, +5.130541E+01,  10
1582957560, +2.63,  +1.665, +4.952288E+01,  10
1582958160, +2.63,  +1.654, +5.424624E+01,  10
1582958760, +2.63,  +1.699, +5.416227E+01,  10
1582959360, +2.63,  +1.699, +5.906101E+01,  10
1582959960, +2.63,  +1.665, +6.133768E+01,  10
1582960560, +2.63,  +1.654, +5.653141E+01,  10
1582961160, +2.63,  +1.676, +5.075867E+01,  10
1582961760, +2.63,  +1.688, +4.833012E+01,  10
1582962360, +2.63,  +1.665, +5.039221E+01,  10
1582962960, +2.63,  +1.688, +5.480592E+01,  10
1582963560, +2.63,  +1.643, +5.450415E+01,  10
1582964160, +2.63,  +1.676, +5.066206E+01,  10
1582964760, +2.63,  +1.688, +4.715833E+01,  10
1582965360, +2.63,  +1.643, +5.052327E+01,  10
1582965960, +2.63,  +1.654, +5.691693E+01,  10
1582966560, +2.63,  +1.665, +6.238951E+01,  10
1582967160, +2.62,  +1.665, +5.709392E+01,  10
1582967760, +2.63,  +1.665, +5.412284E+01,  10
