7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1589792340, +2.68,  +7.280, +6.121688E+01,  10
1589792940, +2.68,  +7.319, +6.401977E+01,  10
1589793540, +2.68,  +7.338, +6.029902E+01,  10
1589794140, +2.68,  +7.434, +5.985984E+01,  10
1589794740, +2.68,  +7.280, +6.077732E+01,  10
1589795340, +2.68,  +7.367, +6.059589E+01,  10
1589795940, +2.68,  +7.357, +6.009225E+01,  10
1589796540, +2.68,  +7.309, +6.127139E+01,  10
1589797140, +2.68,  +7.290, +6.142135E+01,  10
1589797740, +2.68,  +7.424, +6.121183E+01,  10
1589798340, +2.68,  +7.367, +6.103147E+01,  10
1589798940, +2.68,  +7.290, +6.085425E+01,  10
1589799540, +2.68,  +7.357, +5.976728E+01,  10
1589800140, +2.68,  +7.347, +5.966907E+01,  10
1589800740, +2.68,  +7.251, +6.392416E+01,  10
1589801340, +2.68,  +7.155, +6.093746E+01,  10
1589801940, +2.68,  +7.405, +6.047692E+01,  10
1589802540, +2.68,  +7.529, +6.164481E+01,  10
1589803140, +2.70,  +7.251, +6.121742E+01,  10
1589803740, +2.68,  +7.251, +6.349202E+01,  10
1589804340, +2.68,  +7.386, +6.224827E+01,  10
1589804940, +2.68,  +7.386, +6.417724E+01,  10
1589805540, +2.68,  +7.251, +6.311661E+01,  10
1589806140, +2.68,  +7.367, +6.216031E+01,  10
1589806740, +2.68,  +7.376, +6.356597E+01,  10
1589807340, +2.68,  +7.299, +6.346852E+01,  10
1589807940, +2.68,  +7.280, +6.360256E+01,  10
1589808540, +2.68,  +7.405, +6.522065E+01,  10
1589809140, +2.68,  +7.299, +6.421789E+01,  10
1589809740, +2.68,  +7.261, +6.371234E+01,  10
1589810340, +2.68,  +7.367, +6.350105E+01,  10
1589810940, +2.68,  +7.386, +6.284607E+01,  10
1589811540, +2.68,  +7.338, +6.552456E+01,  10
1589812140, +2.68,  +7.347, +6.540177E+01,  10
1589812740, +2.68,  +7.453, +6.261748E+01,  10
1589813340, +2.68,  +7.376, +6.412901E+01,  10
1589813940, +2.68,  +7.280, +6.114454E+01,  10
1589814540, +2.68,  +7.357, +6.289384E+01,  10
1589815140, +2.68,  +7.376, +6.253963E+01,  10
1589815740, +2.68,  +7.376, +6.426191E+01,  10
1589816340, +2.68,  +7.386, +6.480543E+01,  10
1589816940, +2.68,  +7.453, +6.487785E+01,  10
1589817540, +2.68,  +7.299, +6.435331E+01,  10
1589818140, +2.68,  +7.232, +6.166479E+01,  10
1589818740, +2.68,  +7.290, +6.716975E+01,  10
1589819340, +2.69,  +7.338, +6.750436E+01,  10
1589819940, +2.68,  +7.376, +6.400752E+01,  10
1589820540, +2.68,  +7.415, +6.481860E+01,  10
1589821140, +2.68,  +7.577, +6.670493E+01,  10
1589821740, +2.68,  +7.319, +6.449884E+01,  10
1589822340, +2.68,  +7.558, +6.632591E+01,  10
1589822940, +2.68,  +7.453, +6.378009E+01,  10
1589823540, +2.68,  +7.194, +6.629353E+01,  10
1589824140, +2.68,  +7.039, +6.612879E+01,  10
1589824740, +2.68,  +7.434, +6.576295E+01,  10
1589825340, +2.68,  +7.549, +6.462362E+01,  10
1589825940, +2.68,  +7.462, +6.380979E+01,  10
1589826540, +2.68,  +7.424, +6.337635E+01,  10
1589827140, +2.68,  +7.491, +6.483904E+01,  10
1589827740, +2.68,  +7.213, +6.667568E+01,  10
1589828340, +2.68,  +7.203, +6.470346E+01,  10
1589828940, +2.68,  +7.635, +6.786094E+01,  10
1589829540, +2.68,  +7.558, +6.358419E+01,  10
1589830140, +2.68,  +7.682, +6.602751E+01,  10
1589830740, +2.68,  +7.126, +6.444755E+01,  10
1589831340, +2.68,  +7.116, +6.550451E+01,  10
1589831940, +2.68,  +7.443, +6.429192E+01,  10
1589832540, +2.68,  +7.020, +6.337857E+01,  10
1589833140, +2.68,  +7.434, +6.298478E+01,  10
1589833740, +2.69,  +7.682, +6.562332E+01,  10
1589834340, +2.68,  +7.405, +6.297896E+01,  10
1589834940, +2.68,  +7.443, +6.408729E+01,  10
1589835540, +2.68,  +7.367, +6.475200E+01,  10
1589836140, +2.68,  +7.136, +6.299573E+01,  10
1589836740, +2.68,  +7.347, +6.510613E+01,  10
1589837340, +2.68,  +7.558, +6.321811E+01,  10
1589837940, +2.68,  +7.701, +6.650313E+01,  10
1589838540, +2.68,  +7.415, +6.290325E+01,  10
1589839140, +2.68,  +7.213, +6.202045E+01,  10
1589839740, +2.68,  +7.328, +6.314983E+01,  10
1589840340, +2.68,  +7.510, +6.122813E+01,  10
1589840940, +2.68,  +7.415, +6.463709E+01,  10
1589841540, +2.68,  +7.568, +6.185158E+01,  10
1589842140, +2.68,  +7.434, +6.485504E+01,  10
1589842740, +2.68,  +7.242, +6.410168E+01,  10
1589843340, +2.68,  +7.309, +6.314945E+01,  10
1589843940, +2.68,  +7.501, +6.373653E+01,  10
1589844540, +2.68,  +7.625, +6.160125E+01,  10
1589845140, +2.68,  +7.568, +6.327216E+01,  10
1589845740, +2.68,  +7.539, +6.258480E+01,  10
1589846340, +2.68,  +7.242, +6.239472E+01,  10
1589846940, +2.68,  +7.319, +6.342726E+01,  10
1589847540, +2.68,  +7.692, +6.442856E+01,  10
1589848140, +2.68,  +7.405, +6.520802E+01,  10
1589848740, +2.68,  +7.501, +6.339128E+01,  10
1589849340, +2.68,  +7.529, +6.487126E+01,  10
1589849940, +2.68,  +7.097, +6.461665E+01,  10
1589850540, +2.68,  +7.367, +6.383574E+01,  10
1589851140, +2.68,  +7.415, +6.429192E+01,  10
1589851740, +2.68,  +7.491, +6.277465E+01,  10
1589852340, +2.68,  +7.568, +6.468272E+01,  10
1589852940, +2.68,  +7.357, +6.250243E+01,  10
1589853540, +2.68,  +7.520, +6.419890E+01,  10
1589854140, +2.68,  +7.462, +6.290800E+01,  10
1589854740, +2.68,  +7.319, +6.538386E+01,  10
1589855340, +2.68,  +7.328, +6.178513E+01,  10
1589855940, +2.68,  +7.472, +6.158387E+01,  10
1589856540, +2.68,  +7.510, +5.966532E+01,  10
1589857140, +2.68,  +7.424, +6.086168E+01,  10
1589857740, +2.68,  +7.232, +6.527431E+01,  10
1589858340, +2.68,  +7.405, +6.156466E+01,  10
1589858940, +2.68,  +7.424, +6.227223E+01,  10
1589859540, +2.68,  +7.520, +6.180878E+01,  10
1589860140, +2.68,  +7.501, +6.296626E+01,  10
1589860740, +2.68,  +7.625, +6.474097E+01,  10
1589861340, +2.68,  +7.558, +6.001661E+01,  10
1589861940, +2.68,  +7.357, +6.148122E+01,  10
1589862540, +2.67,  +7.376, +6.336456E+01,  10
1589863140, +2.68,  +7.424, +6.113528E+01,  10
1589863740, +2.68,  +7.347, +6.031716E+01,  10
1589864340, +2.68,  +7.347, +6.320908E+01,  10
1589864940, +2.68,  +7.357, +6.398655E+01,  10
1589865540, +2.68,  +7.434, +6.181345E+01,  10
1589866140, +2.68,  +7.568, +6.263027E+01,  10
1589866740, +2.67,  +7.395, +6.368264E+01,  10
1589867340, +2.68,  +7.424, +6.475001E+01,  10
1589867940, +2.68,  +7.434, +6.503333E+01,  10
1589868540, +2.68,  +7.443, +6.203584E+01,  10
1589869140, +2.68,  +7.453, +6.348161E+01,  10
1589869740, +2.67,  +7.405, +6.460808E+01,  10
1589870340, +2.68,  +7.491, +6.460877E+01,  10
1589870940, +2.68,  +7.472, +6.162866E+01,  10
1589871540, +2.68,  +7.424, +6.526735E+01,  10
1589872140, +2.68,  +7.376, +6.471525E+01,  10
1589872740, +2.68,  +7.434, +6.206003E+01,  10
1589873340, +2.68,  +7.462, +6.449853E+01,  10
1589873940, +2.68,  +7.405, +5.902327E+01,  10
1589874540, +2.68,  +7.415, +6.243200E+01,  10
1589875140, +2.68,  +7.472, +6.494009E+01,  10
1589875740, +2.68,  +7.434, +6.362040E+01,  10
1589876340, +2.68,  +7.482, +6.153396E+01,  10
1589876940, +2.68,  +7.462, +6.241141E+01,  10
1589877540, +2.68,  +7.405, +6.359674E+01,  10
1589878140, +2.68,  +7.386, +6.236693E+01,  10
1589878740, +2.68,  +7.491, +6.405246E+01,  10
