7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1577331360, +2.76,  +3.212, +6.941886E+01,  10
1577331960, +2.75,  +3.180, +6.938296E+01,  10
1577332560, +2.76,  +3.201, +6.938572E+01,  10
1577333160, +2.76,  +3.169, +6.940761E+01,  10
1577333760, +2.76,  +3.127, +6.925565E+01,  10
1577334360, +2.75,  +3.201, +6.934078E+01,  10
1577334960, +2.76,  +3.212, +6.929623E+01,  10
1577335560, +2.76,  +3.180, +6.920743E+01,  10
1577336160, +2.75,  +3.191, +6.949350E+01,  10
1577336760, +2.76,  +3.159, +6.912146E+01,  10
1577337360, +2.75,  +3.212, +6.931299E+01,  10
1577337960, +2.75,  +3.191, +6.910699E+01,  10
1577338560, +2.75,  +3.169, +6.941037E+01,  10
1577339160, +2.75,  +3.201, +6.921814E+01,  10
1577339760, +2.75,  +3.191, +6.903266E+01,  10
1577340360, +2.75,  +3.159, +6.934905E+01,  10
1577340960, +2.75,  +3.159, +6.916693E+01,  10
1577341560, +2.76,  +3.201, +6.929485E+01,  10
1577342160, +2.75,  +3.201, +6.934667E+01,  10
1577342760, +2.75,  +3.191, +6.904307E+01,  10
1577343360, +2.75,  +3.169, +6.938962E+01,  10
1577343960, +2.75,  +3.180, +6.929079E+01,  10
1577344560, +2.76,  +3.159, +6.929217E+01,  10
1577345160, +2.75,  +3.212, +6.937883E+01,  10
1577345760, +2.76,  +3.180, +6.914932E+01,  10
1577346360, +2.75,  +3.180, +6.939582E+01,  10
1577346960, +2.75,  +3.169, +6.945132E+01,  10
1577347560, +2.75,  +3.222, +6.921378E+01,  10
1577348160, +2.76,  +3.169, +6.944650E+01,  10
1577348760, +2.75,  +3.180, +6.913539E+01,  10
1577349360, +2.75,  +3.180, +6.949411E+01,  10
1577349960, +2.75,  +3.180, +6.928773E+01,  10
1577350560, +2.75,  +3.148, +6.920061E+01,  10
1577351160, +2.75,  +3.169, +6.911051E+01,  10
1577351760, +2.76,  +3.127, +6.899492E+01,  10
1577352360, +2.76,  +3.169, +6.899913E+01,  10
1577352960, +2.75,  +3.201, +6.928413E+01,  10
1577353560, +2.75,  +3.148, +6.931268E+01,  10
1577354160, +2.76,  +3.148, +6.932937E+01,  10
1577354760, +2.75,  +3.201, +6.928130E+01,  10
1577355360, +2.75,  +3.169, +6.952948E+01,  10
1577355960, +2.75,  +3.191, +6.948462E+01,  10
1577356560, +2.76,  +3.159, +6.906963E+01,  10
1577357160, +2.75,  +3.169, +6.947827E+01,  10
1577357760, +2.75,  +3.148, +6.915943E+01,  10
1577358360, +2.75,  +3.191, +6.936566E+01,  10
1577358960, +2.75,  +3.169, +6.930342E+01,  10
1577359560, +2.75,  +3.169, +6.911311E+01,  10
1577360160, +2.75,  +3.191, +6.896261E+01,  10
1577360760, +2.75,  +3.201, +6.898267E+01,  10
1577361360, +2.76,  +3.138, +6.925190E+01,  10
1577361960, +2.75,  +3.138, +6.912238E+01,  10
1577362560, +2.76,  +3.138, +6.926507E+01,  10
1577363160, +2.75,  +3.159, +6.945584E+01,  10
1577363760, +2.76,  +3.191, +6.921531E+01,  10
1577364360, +2.75,  +3.116, +6.923766E+01,  10
1577364960, +2.75,  +3.169, +6.947658E+01,  10
1577365560, +2.75,  +3.201, +6.933818E+01,  10
1577366160, +2.76,  +3.138, +6.926277E+01,  10
1577366760, +2.75,  +3.201, +6.907614E+01,  10
1577367360, +2.75,  +3.191, +6.867462E+01,  10
1577367960, +2.75,  +3.191, +6.914259E+01,  10
1577368560, +2.75,  +3.191, +6.905532E+01,  10
1577369160, +2.75,  +3.169, +6.935663E+01,  10
1577369760, +2.75,  +3.191, +6.925718E+01,  10
1577370360, +2.75,  +3.191, +6.942476E+01,  10
1577370960, +2.75,  +3.180, +6.923062E+01,  10
1577371560, +2.75,  +3.212, +6.918262E+01,  10
1577372160, +2.75,  +3.169, +6.936765E+01,  10
1577372760, +2.75,  +3.180, +6.952083E+01,  10
1577373360, +2.75,  +3.191, +6.884434E+01,  10
1577373960, +2.75,  +3.159, +6.915208E+01,  10
1577374560, +2.75,  +3.212, +6.946196E+01,  10
1577375160, +2.75,  +3.127, +6.880522E+01,  10
1577375760, +2.75,  +3.191, +6.866314E+01,  10
1577376360, +2.75,  +3.159, +6.935762E+01,  10
1577376960, +2.75,  +3.159, +6.931092E+01,  10
1577377560, +2.75,  +3.148, +6.966398E+01,  10
1577378160, +2.75,  +3.191, +6.934729E+01,  10
1577378760, +2.75,  +3.127, +6.913325E+01,  10
1577379360, +2.75,  +3.159, +6.898343E+01,  10
1577379960, +2.75,  +3.180, +6.927563E+01,  10
1577380560, +2.75,  +3.138, +6.878501E+01,  10
1577381160, +2.75,  +3.201, +6.943900E+01,  10
1577381760, +2.75,  +3.191, +6.888399E+01,  10
1577382360, +2.75,  +3.212, +6.940876E+01,  10
