Serial Number:20472263 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","EOF"
2020-05-23 12:07:33,45.51,15, , , , 
2020-05-23 12:17:33,45.12,18, , , , 
2020-05-23 12:27:33,44.81,28, , , , 
2020-05-23 12:37:33,44.81,34, , , , 
2020-05-23 12:47:33,44.97,10, , , , 
2020-05-23 12:57:33,45.35,14, , , , 
2020-05-23 13:07:33,45.43,11, , , , 
2020-05-23 13:17:33,44.66,23, , , , 
2020-05-23 13:27:33,44.66,16, , , , 
2020-05-23 13:37:33,45.20,15, , , , 
2020-05-23 13:47:33,45.20,8, , , , 
2020-05-23 13:57:33,45.74,10, , , , 
2020-05-23 14:07:33,45.20,9, , , , 
2020-05-23 14:17:33,44.81,42, , , , 
2020-05-23 14:27:33,44.97,17, , , , 
2020-05-23 14:37:33,45.05,14, , , , 
2020-05-23 14:47:33,45.43,16, , , , 
2020-05-23 14:57:33,44.97,11, , , , 
2020-05-23 15:07:33,45.05,13, , , , 
2020-05-23 15:17:33,45.28,13, , , , 
2020-05-23 15:27:33,45.59,11, , , , 
2020-05-23 15:37:33,45.51,8, , , , 
2020-05-23 15:47:33,44.89,5, , , , 
2020-05-23 15:57:33,44.58,6, , , , 
2020-05-23 16:07:33,44.74,6, , , , 
2020-05-23 16:17:33,45.12,5, , , , 
2020-05-23 16:27:33,45.74,5, , , , 
2020-05-23 16:37:33,45.43,6, , , , 
2020-05-23 16:47:33,45.12,7, , , , 
2020-05-23 16:57:33,45.05,7, , , , 
2020-05-23 17:07:33,45.12,8, , , , 
2020-05-23 17:17:33,45.35,7, , , , 
2020-05-23 17:27:33,45.05,6, , , , 
2020-05-23 17:37:33,44.89,6, , , , 
2020-05-23 17:47:33,45.35,6, , , , 
2020-05-23 17:57:33,45.43,5, , , , 
2020-05-23 18:07:33,45.12,5, , , , 
2020-05-23 18:17:33,45.05,3, , , , 
2020-05-23 18:27:33,44.81,3, , , , 
2020-05-23 18:37:33,45.20,3, , , , 
2020-05-23 18:47:33,45.20,2, , , , 
2020-05-23 18:57:33,45.35,3, , , , 
2020-05-23 19:07:33,45.43,2, , , , 
2020-05-23 19:17:33,44.89,2, , , , 
2020-05-23 19:27:33,44.81,1, , , , 
2020-05-23 19:37:33,45.05,1, , , , 
2020-05-23 19:47:33,45.28,1, , , , 
2020-05-23 19:57:33,45.28,0, , , , 
2020-05-23 20:07:33,45.20,0, , , , 
2020-05-23 20:17:33,45.20,0, , , , 
2020-05-23 20:27:33,45.35,0, , , , 
2020-05-23 20:37:33,45.20,0, , , , 
2020-05-23 20:47:33,44.97,0, , , , 
2020-05-23 20:57:33,44.97,0, , , , 
2020-05-23 21:07:33,45.12,0, , , , 
2020-05-23 21:17:33,45.35,0, , , , 
2020-05-23 21:27:33,45.35,0, , , , 
2020-05-23 21:37:33,45.20,0, , , , 
2020-05-23 21:47:33,45.12,0, , , , 
2020-05-23 21:57:33,45.12,0, , , , 
2020-05-23 22:07:33,45.12,0, , , , 
2020-05-23 22:17:33,45.20,0, , , , 
2020-05-23 22:27:33,45.20,0, , , , 
2020-05-23 22:37:33,45.28,0, , , , 
2020-05-23 22:47:33,45.20,0, , , , 
2020-05-23 22:57:33,45.28,0, , , , 
2020-05-23 23:07:33,45.35,0, , , , 
2020-05-23 23:17:33,45.35,0, , , , 
2020-05-23 23:27:33,45.12,0, , , , 
2020-05-23 23:37:33,45.12,0, , , , 
2020-05-23 23:47:33,45.20,0, , , , 
2020-05-23 23:57:33,45.20,0, , , , 
2020-05-24 00:07:33,45.20,0, , , , 
2020-05-24 00:17:33,45.12,0, , , , 
2020-05-24 00:27:33,45.12,0, , , , 
2020-05-24 00:37:33,45.28,0, , , , 
2020-05-24 00:47:33,45.28,0, , , , 
2020-05-24 00:57:33,45.28,0, , , , 
2020-05-24 01:07:33,45.20,0, , , , 
2020-05-24 01:17:33,45.20,0, , , , 
2020-05-24 01:27:33,45.35,0, , , , 
2020-05-24 01:37:33,45.43,0, , , , 
2020-05-24 01:47:33,45.28,0, , , , 
2020-05-24 01:57:33,45.28,0, , , , 
2020-05-24 02:07:33,45.20,0, , , , 
2020-05-24 02:17:33,45.28,0, , , , 
2020-05-24 02:27:33,45.35,0, , , , 
2020-05-24 02:37:33,45.20,0, , , , 
2020-05-24 02:47:33,45.20,0, , , , 
2020-05-24 02:57:33,45.28,0, , , , 
2020-05-24 03:07:33,45.12,0, , , , 
2020-05-24 03:17:33,45.20,0, , , , 
2020-05-24 03:27:33,45.28,0, , , , 
2020-05-24 03:37:33,45.20,0, , , , 
2020-05-24 03:47:33,45.20,0, , , , 
2020-05-24 03:57:33,45.20,0, , , , 
2020-05-24 04:07:33,45.20,0, , , , 
2020-05-24 04:17:33,45.20,0, , , , 
2020-05-24 04:27:33,45.28,0, , , , 
2020-05-24 04:37:33,45.28,0, , , , 
2020-05-24 04:47:33,45.20,0, , , , 
2020-05-24 04:57:33,45.20,0, , , , 
2020-05-24 05:07:33,45.20,0, , , , 
2020-05-24 05:17:33,45.12,0, , , , 
2020-05-24 05:27:33,45.28,0, , , , 
2020-05-24 05:37:33,45.20,1, , , , 
2020-05-24 05:47:33,45.12,1, , , , 
2020-05-24 05:57:33,45.28,1, , , , 
2020-05-24 06:07:33,45.28,2, , , , 
2020-05-24 06:17:33,45.28,2, , , , 
2020-05-24 06:27:33,45.28,3, , , , 
2020-05-24 06:37:33,45.28,4, , , , 
2020-05-24 06:47:33,45.20,4, , , , 
2020-05-24 06:57:33,45.12,5, , , , 
2020-05-24 07:07:33,45.20,5, , , , 
2020-05-24 07:17:33,45.20,3, , , , 
2020-05-24 07:27:33,45.20,4, , , , 
2020-05-24 07:37:33,45.28,6, , , , 
2020-05-24 07:47:33,45.35,7, , , , 
2020-05-24 07:57:33,45.28,5, , , , 
2020-05-24 08:07:33,45.35,11, , , , 
2020-05-24 08:17:33,45.28,16, , , , 
