Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2020-05-23 11:35:51,68.75,"1,202", , , , 
2020-05-23 11:45:51,68.91,"1,118", , , , 
2020-05-23 11:55:51,69.14,"1,385", , , , 
2020-05-23 12:05:51,69.29,"1,344", , , , 
2020-05-23 12:15:51,69.68,"1,587", , , , 
2020-05-23 12:25:51,69.91,"1,788", , , , 
2020-05-23 12:35:51,70.06,"1,350", , , , 
2020-05-23 12:45:51,69.91,"1,094", , , , 
2020-05-23 12:55:51,69.99,"1,096", , , , 
2020-05-23 13:05:51,69.91,917, , , , 
2020-05-23 13:15:51,70.14,"1,497", , , , 
2020-05-23 13:25:51,70.61,"1,689", , , , 
2020-05-23 13:35:51,70.68,"1,505", , , , 
2020-05-23 13:45:51,70.61,834, , , , 
2020-05-23 13:55:51,70.53,945, , , , 
2020-05-23 14:05:51,70.53,787, , , , 
2020-05-23 14:15:51,71.30,"2,805", , , , 
2020-05-23 14:25:51,71.38,"1,603", , , , 
2020-05-23 14:35:51,71.22,"1,208", , , , 
2020-05-23 14:45:51,71.45,"1,483", , , , 
2020-05-23 14:55:51,71.30,"1,060", , , , 
2020-05-23 15:05:51,71.61,"1,354", , , , 
2020-05-23 15:15:51,71.84,"1,372", , , , 
2020-05-23 15:25:51,71.76,"1,075", , , , 
2020-05-23 15:35:51,71.53,729, , , , 
2020-05-23 15:45:51,71.30,468, , , , 
2020-05-23 15:55:51,71.53,623, , , , 
2020-05-23 16:05:51,71.53,568, , , , 
2020-05-23 16:15:51,71.30,509, , , , 
2020-05-23 16:25:51,71.30,429, , , , 
2020-05-23 16:35:51,71.30,474, , , , 
2020-05-23 16:45:51,71.45,640, , , , 
2020-05-23 16:55:51,71.45,682, , , , 
2020-05-23 17:05:51,71.53,807, , , , 
2020-05-23 17:15:51,71.61,638, , , , 
2020-05-23 17:25:51,71.30,512, , , , 
2020-05-23 17:35:51,71.38,622, , , , 
2020-05-23 17:45:51,71.45,645, , , , 
2020-05-23 17:55:51,71.22,454, , , , 
2020-05-23 18:05:51,71.30,510, , , , 
2020-05-23 18:15:51,71.07,337, , , , 
2020-05-23 18:25:51,70.99,285, , , , 
